"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",13796,-138,-771,-113,92.364,-0.301,10,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",13345,-21,311,-57,84.361,0.086,10,2,13366,715,84.361
3,"=","ADELE Rolling In The Deep",12008,173,1627,-120,79.278,0.877,10,3,12008,2273,79.278
4,"=","BRITNEY SPEARS Till The World Ends",11801,64,384,14,75.283,0.126,10,3,11801,966,75.299
5,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9936,66,348,45,63.381,0.335,10,5,9936,668,63.381
6,"=","BRUNO MARS Lazy Song",9378,131,895,6,53.911,0.247,10,6,9378,895,53.911
7,"=","TINIE TEMPAH Written In The Stars",8755,-36,261,-132,52.175,-0.708,10,7,8819,756,54.175
8,"=","KE$HA Blow",8099,-120,-1480,160,46.667,-0.837,10,4,10135,0,56.264
9,"=","RIHANNA S&M",7662,-151,-1717,194,49.765,-0.712,10,5,10081,0,64.524
10,"=","JEREMIH Down On Me f/50 Cent",7175,-215,-823,-161,39.54,-0.816,10,10,8052,153,44.2
11,"=","PITBULL Give Me Everything f/Ne-Yo",6487,261,1520,62,47.455,1.476,10,11,6487,1520,47.455
12,"=","THE SCRIPT For The First Time",6163,43,252,-28,32.683,0.339,10,11,6163,433,33.625
13,"=","JESSIE J Price Tag f/B.O.B",5844,21,215,-13,30.094,0.168,10,12,5844,582,30.094
14,"=","CEE LO GREEN F**k You (Forget You)",5259,-57,-374,35,30.682,-0.435,10,11,5830,0,32.865
15,"=","LUPE FIASCO The Show Goes On",5199,131,943,7,33.089,0.86,10,15,5199,943,33.089
16,"=","PINK F**kin' Perfect (Perfect)",4504,-118,-676,0,22.627,-0.462,10,14,5394,0,27.986
17,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3893,14,184,-24,20.204,0.231,10,17,3893,331,20.204
18,"=","SELENA GOMEZ & THE SCENE Who Says",3659,98,519,-5,20.991,0.474,10,18,3659,707,20.991
19,"=","WIZ KHALIFA Roll Up",3543,90,507,37,17.982,0.624,10,19,3543,725,17.982
20,"=","HOT CHELLE RAE Tonight Tonight",3325,83,630,-4,15.549,0.508,10,20,3325,643,15.549
21,"+1","ONEREPUBLIC Good Life",3111,70,552,12,15.75,0.373,10,21,3111,573,15.75
22,"-1","LADY GAGA Born This Way",3082,-91,-427,-58,15.316,-0.435,10,19,3651,0,20.436
23,"+2","LADY GAGA The Edge Of Glory",3073,260,1991,-33,21.103,0.826,10,23,3073,2024,21.103
24,"-1","MARTIN SOLVEIG & DRAGONETTE Hello",3027,62,553,22,19.785,0.314,10,23,3027,560,19.785
25,"-1","LMFAO Party Rock Anthem",2889,61,464,46,18.747,0.748,10,24,2889,464,18.747
26,"=","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",2620,-176,-613,-183,11.636,-0.497,10,21,3233,127,13.744
