"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY Last Friday Night (T.G.I.F.)",13673,"-63",-493,"-25",81.07,"-0.757",93,"17",1,14935,2322,96.531
2,"=","BRITNEY SPEARS I Wanna Go",12775,"+9",532,"-74",81.922,"-0.201",76,"19",2,12775,1768,82.123
3,"=","LMFAO Party Rock Anthem",11959,"+9",-486,"+161",81.34,"+0.063",110,"8",1,14043,1859,94.193
4,"=","NICKI MINAJ Super Bass",11904,"-13",25,"-102",72.63,"+0.556",110,"15",4,12009,1188,72.63
5,"=","BAD MEETS EVIL Lighters f/Bruno Mars",10013,"+91",853,"-53",62.564,"+0.866",64,"10/89",5,10013,1599,62.564
6,"=","HOT CHELLE RAE Tonight Tonight",9710,"-79",-291,"-95",53.01,"-0.661",110,"16",5,10036,838,54.593
7,"=","ONEREPUBLIC Good Life",9245,"-38",-326,"-44",55.347,"-0.441",110,"11",6,9571,978,57.364
8,"=","PITBULL Give Me Everything f/Ne-Yo",8909,"-76",-642,"+144",65.191,"-0.150",110,"13",1,14233,1811,95.596
9,"+1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",7938,"+139",1372,"-62",47.761,"+0.812",51,"2",9,7938,1684,47.761
10,"-1","LIL WAYNE How To Love",7886,"-53",-161,"-104",42.786,"-0.246",85,"9",9,8047,1328,45.275
11,"=","FOSTER THE PEOPLE Pumped Up Kicks",6372,"+158",1021,"-28",36.872,"+0.984",46,"1",11,6372,1302,36.872
12,"+1","RIHANNA Cheers (Drink To That)",6151,"+112",819,"-102",36.327,"+0.906",32,"5",12,6151,1594,36.327
13,"-1","COBRA STARSHIP You Make Me Feel... f/Sab...",6151,"+73",769,"-40",34.137,"+0.693",76,"7",12,6151,1017,34.137
14,"=","THE BAND PERRY If I Die Young",5921,"-32",-131,"-64",31.769,"-0.224",110,"18",11,6052,768,32.397
