"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY","Wide Awake",13872,"-15",-252,"-85",97.806,"-0.013",78,"5",1,14124,2824,100.029
2,"=","ELLIE GOULDING","Lights",13870,"+58",386,"+60",97.603,"-0.239",180,"9",2,13870,1482,98.33
3,"=","RIHANNA","Where Have You Been",11263,"-211",-1033,"-69",82.101,"-0.752",115,"31",2,12963,1884,95.69
4,"=","MAROON 5","Payphone f/Wiz Khali...",11131,"-158",-990,"-66",88.344,"-0.898",114,"17/60",1,14353,3415,107.136
5,"=","DAVID GUETTA","Titanium f/Sia",10557,"+17",528,"-117",75.303,"+0.262",122,"15",5,10557,1091,75.303
6,"=","CARLY RAE JEPSEN","Call Me Maybe",9508,"-193",-1274,"-63",64.74,"-1.493",150,"3",1,14563,1711,111.23
7,"=","USHER","Scream",9249,"-139",-371,"-131",64.676,"-0.848",104,"29",6,9627,2323,68.266
8,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",8879,"+63",472,"-19",55.799,"+0.122",102,"27",8,8879,1254,55.941
9,"=","DEMI LOVATO","Give Your Heart A Br...",8623,"+93",784,"-5",61.67,"+0.833",161,"21",9,8623,1250,61.67
10,"=","PINK","Blow Me (One Last Ki...",7395,"+62",463,"-92",48.593,"+0.342",35,"11",10,7395,2737,48.593
11,"+1","FLO RIDA","Whistle",7256,"+174",894,"+40",51.54,"+0.985",64,"2",11,7256,1412,51.54
12,"-1","GOTYE","Somebody That I Used...",7158,"-131",-791,"-22",47.819,"-1.128",160,"24",1,14242,2018,106.819
13,"=","CHER LLOYD","Want U Back",7070,"+80",476,"-31",42.083,"+0.446",88,"8",11,7070,1103,42.083
14,"=","OWL CITY & CARLY RAE...","Good Time",6186,"+68",581,"+11",39.685,"+0.834",43,"7",14,6186,1961,39.685
15,"=","HAVANA BROWN","We Run The Night f/P...",5597,"-51",55,"-70",41.47,"-0.365",178,"44",14,5660,544,41.835
16,"+1","NEON TREES","Everybody Talks",4581,"+163",742,"+62",32.034,"+0.684",121,"16",16,4581,742,32.034
17,"-1","THE WANTED","Chasing The Sun",4481,"+40",110,"-25",26.5,"+0.189",96,"37",16,4481,656,26.5
18,"=","JUSTIN BIEBER","As Long As You Love ...",4064,"+89",660,"-5",27.515,"+0.588",34,"6",18,4064,1096,27.515
19,"=","NO DOUBT","Settle Down",3571,"+112",770,"-33",20.717,"+0.373",21,"75",19,3571,1467,20.717
20,"=","MAROON 5","One More Night",3541,"+92",1092,"-89",20.403,"+0.605",21,"10",20,3541,1236,20.403
21,"=","ONE DIRECTION","One Thing",3144,"-273",-1654,"-76",16.11,"-1.149",94,"47",13,5433,975,29.694
22,"=","KELLY CLARKSON","Dark Side",3040,"+70",286,"+38",18.007,"+0.415",60,"32",20,3040,493,18.007
23,"=","FUN.","Some Nights",3019,"+105",635,"+12",18.722,"+0.734",59,"4",23,3019,715,18.722
24,"+1","NICKI MINAJ","Pound The Alarm",2949,"+124",732,"+7",18.503,"+0.775",23,"22",24,2949,1036,18.503
25,"-1","GROUPLOVE","Tongue Tied",2940,"+59",198,"+75",18.188,"+0.473",106,"48",20,2940,433,18.188
26,"=","JASON MRAZ","I Won't Give Up",2698,"+39",257,"+15",18.432,"+0.349",115,"19",22,2698,276,18.432
27,"=","ALEX CLARE","Too Close",2473,"+46",370,"-10",16.346,"+0.293",71,"13",27,2473,468,16.346
28,"=","OUTASIGHT","Now Or Never",2237,"+7",106,"-13",11.991,"-0.003",90,"174",25,2237,320,11.994
29,"=","PITBULL","Back In Time",1612,"-69",-155,"-44",12.392,"-0.261",132,"67",14,6235,925,42.751
30,"=","JUSTIN BIEBER","Boyfriend",1517,"-55",-249,"-25",7.371,"-0.258",135,"57",9,7937,4726,51.515
31,"=","CHRIS BROWN","Don't Wake Me Up",1358,"+38",242,"+16",6.647,"+0.236",52,"59",31,1358,326,6.647
32,"=","B.O.B","Both Of Us f/Taylor ...",1277,"-16",-61,"+11",10.005,"+0.252",87,"68",23,3144,577,17.595
33,"=","OLLY MURS","Heart Skips A Beat",1242,"+25",177,"-14",6.575,"+0.283",26,"157",33,1242,343,6.575
34,"=","LINKIN PARK","Burn It Down",1158,"+20",104,"+15",4.613,"+0.101",63,"76",34,1158,217,4.613
35,"=","GYM CLASS HEROES","Fighter f/Ryan Tedde...",1058,"-24",-773,"+151",7.141,"-0.470",100,"58",13,5862,1441,35.394
36,"+1","K'NAAN","Hurt Me Tomorrow",993,"+38",23,"+37",3.346,"+0.069",53,"184",36,997,308,3.679
37,"-1","MATCHBOX TWENTY","She's So Mean",954,"-39",28,"-45",4.306,"-0.125",52,"38",34,1028,574,4.492
38,"=","PITBULL","Get It Started f/Sha...",781,"+45",183,"+41",3.582,"+0.272",24,"191",38,781,183,3.582
39,"+1","CA$H OUT","Cashin' Out",720,"+20",123,"+15",2.21,"+0.030",19,"51",39,720,137,2.21
40,"-1","RITA ORA","How We Do (Party)",670,"-34",-522,"+124",3.717,"-0.108",104,"201",21,3424,620,16.657
41,"=","CONOR MAYNARD","Vegas Girl",659,"+27",192,"-13",2,"+0.194",11,"348",41,659,205,2
42,"=","MARINA AND THE DIAMO...","Primadonna",634,"+11",65,"+5",1.901,"-0.024",31,"230",41,634,93,2.411
43,"=","AFROJACK & SHERMANOL...","Can't Stop Me",587,"-5",-16,"-17",7.752,"-0.098",34,"312",40,603,101,7.85
44,"=","BIG TIME RUSH","Windows Down",565,"+22",158,"-16",1.988,"+0.118",8,"124",44,565,253,1.988
45,"=","DAVID GUETTA","I Can Only Imagine f...",528,"+31",102,"+17",3.713,"+0.278",10,"314",45,528,133,3.713
46,"=","TRAIN","50 Ways To Say Goodb...",502,"+27",170,"+13",1.799,"+0.114",4,"28",46,502,170,1.799
47,"--","KARMIN","Hello",485,"--",330,"--",2.016,"--",1,"--",47,485,330,2.016
48,"=","CHRIS RENE","Trouble",466,"+9",33,"+3",0.738,"+0.017",17,"--",45,466,124,0.789
49,"-2","JENNIFER LOPEZ","Goin' In f/Flo Rida",454,"-14",-26,"-16",1.469,"-0.110",44,"383",42,648,275,2.274
50,"-1","AUSTIN MAHONE","Say Somethin",443,"+9",43,"+5",1.93,"+0.140",15,"315",48,443,183,1.93
