"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","IGGY AZALEA","Fancy f/Charlie XCX",15954,"+226",1144,"+65",109.895,"+1.455",82,"3/17",1,15954,2440,109.895
2,"=","PARAMORE","Ain't It Fun",14179,"-245",-195,"-299",84.395,"-0.326",123,"13",2,14464,1853,84.721
3,"+1","ARIANA GRANDE","Problem f/Iggy Azalea",13490,"+295",2360,"-70",92.29,"+1.383",42,"1",3,13490,2576,92.29
4,"-1","JUSTIN TIMBERLAKE","Not A Bad Thing",13224,"-360",-1635,"-230",81.139,"-2.299",108,"30",1,15543,2024,97.949
5,"=","DJ SNAKE & LIL JON","Turn Down For What",12178,"+7",308,"-70",73.382,"-0.480",143,"9",5,12178,1490,74.029
6,"=","CALVIN HARRIS","Summer",12176,"+144",968,"-143",83.509,"+0.733",82,"8",6,12176,1917,83.509
7,"+1","RIXTON","Me And My Broken Heart",11699,"+17",109,"+71",59.267,"+0.039",101,"38",6,11699,1397,59.689
8,"-1","JOHN LEGEND","All Of Me",11497,"-243",-1556,"-31",87.318,"-1.663",133,"12",1,17233,2520,121.78
9,"+1","NICO & VINZ","Am I Wrong",10320,"+180",1258,"-24",64.243,"+0.868",71,"5",9,10320,1529,64.243
10,"-1","ED SHEERAN","Sing",10308,"-120",-267,"-81",53.674,"-0.897",64,"14",6,10622,2778,57.807
11,"=","KATY PERRY","Birthday",9318,"+95",462,"+79",52.55,"+0.269",66,"39",11,9318,2209,52.55
12,"=","MKTO","Classic",8216,"+52",515,"-24",46.076,"+0.762",192,"24",12,8216,733,46.076
13,"=","DISCLOSURE","Latch f/Sam Smith",7652,"+250",1508,"+96",51.943,"+0.951",129,"10",13,7652,1508,51.943
14,"=","MAGIC!","Rude",7178,"+246",1169,"+102",49.873,"+1.243",56,"2",14,7178,1301,49.873
15,"=","SAM SMITH","Stay With Me",5876,"+207",1201,"+18",37.72,"+1.388",30,"4",15,5876,1606,37.72
16,"=","JASON DERULO","Wiggle f/Snoop Dogg",5580,"+126",1380,"-83",26.645,"+1.024",33,"6",16,5580,1666,26.645
17,"=","5 SECONDS OF SUMMER","She Looks So Perfect",4206,"-200",-1063,"-127",16.721,"-1.008",79,"29",17,5675,1186,24.087
18,"=","NEON TREES","Sleeping With A Friend",3965,"-139",-380,"-110",16.43,"-0.285",126,"87",18,4374,507,18.342
19,"=","ONEREPUBLIC","Love Runs Out",3769,"+204",1152,"+83",20.104,"+0.642",40,"18",19,3769,1152,20.104
20,"=","KONGOS","Come With Me Now",3376,"+94",569,"+51",12.67,"+0.475",54,"28",20,3376,628,12.67
21,"=","ONE DIRECTION","You & I",3183,"+27",210,"+31",11.962,"+0.233",47,"83",21,3183,850,11.962
22,"+1","PHARRELL WILLIAMS","Come Get It Bae",2891,"+92",909,"-21",12.509,"+0.353",19,"62",22,2891,993,12.509
23,"-1","SHAKIRA","Empire",2820,"+2",76,"-43",11.14,"+0.004",75,"61",22,2835,529,11.37
24,"=","JENNIFER LOPEZ","First Love",2699,"+62",804,"-49",12.933,"+0.229",24,"161",24,2699,853,12.933
25,"=","AFROJACK","Ten Feet Tall f/Wrabel",2671,"+88",633,"+44",10.999,"+0.375",73,"182",25,2671,633,10.999
26,"=","KATY TIZ","The Big Bang",2571,"+34",225,"+47",12.496,"+0.265",77,"145",25,2571,878,13.692
27,"=","LORDE","Tennis Court",2357,"+20",268,"-63",10.316,"+0.119",43,"113",27,2357,590,10.316
28,"+2","DEMI LOVATO","Really Don't Care f/Cher Lloyd",2138,"+88",735,"-39",9.597,"+0.092",17,"93",28,2138,821,9.597
29,"-1","SIA","Chandelier",2134,"+26",482,"-34",12.205,"+0.082",52,"21",28,2134,561,12.232
30,"-1","M. JACKSON & J. TIMBERLAKE","Love Never Felt So Good",2105,"+17",112,"-45",8.552,"+0.086",38,"41",29,2105,1126,13.019
31,"+1","TREY SONGZ","Na Na",1986,"+66",394,"+23",14.359,"+0.767",68,"56",31,1986,394,14.359
32,"-1","PITBULL","Wild Wild Love f/GRL",1791,"-178",-1876,"+159",9.829,"-0.808",101,"51",13,6576,1068,37.145
33,"=","BECKY G","Shower",1789,"+43",524,"-36",8.69,"+0.398",26,"91",33,1789,632,8.69
34,"=","AJR","I'm Ready",1711,"+17",75,"+6",4.786,"+0.046",61,"53",31,1711,346,4.786
35,"=","TIESTO","Wasted",1570,"+31",275,"-33",11.002,"+0.102",29,"90",35,1570,486,11.002
36,"=","HAIM","Forever",1456,"+18",274,"-17",5.172,"-0.024",50,"--",36,1456,291,5.196
37,"=","TIESTO","Red Lights",1138,"-47",-1279,"+195",11.416,"-0.525",110,"142",15,6068,850,36.436
38,"=","ENRIQUE IGLESIAS","Bailando f/Gente De Zona",1028,"+34",183,"-3",11.225,"+0.543",17,"180",38,1028,317,11.225
39,"=","RITA ORA","I Will Never Let You Down",949,"+22",73,"-5",2.665,"+0.119",17,"339",39,949,247,2.718
40,"=","CHRIS BROWN","Loyal f/Lil' Wayne",798,"-9",-4,"+1",6.281,"-0.004",75,"178",40,854,230,6.285
41,"=","CLEAN BANDIT","Rather Be f/Jess Glynne",616,"+6",82,"-17",1.908,"+0.147",13,"174",41,616,99,1.908
42,"=","CHER LLOYD","Sirens",576,"-25",-80,"-31",0.985,"-0.019",22,"--",41,687,171,1.288
43,"=","AVICII","Addicted To You",472,"+13",119,"-15",1.492,"+0.016",8,"--",43,472,175,1.492
44,"=","CHROMEO","Jealous (I Ain't With It)",472,"+13",77,"+1",1.109,"-0.014",10,"--",43,472,92,1.663
45,"=","ECHOSMITH","Cool Kids",428,"+53",322,"+30",1.671,"+0.245",3,"--",45,428,322,1.671
46,"=","OH HONEY","Be Okay",335,"-6",-8,"-9",0.291,"-0.005",9,"--",46,358,51,0.354
47,"=","IMAGINE DRAGONS","On Top Of The World",328,"-11",-87,"-5",1.27,"-0.086",10,"74",45,421,92,1.999
48,"=","INGRID MICHAELSON","Girls Chase Boys",320,"+13",124,"+5",1.695,"+0.104",3,"60",48,320,124,1.695
49,"--","NICKI MINAJ","Pills N Potions",298,"--",107,"--",0.77,"--",1,"23",49,298,107,0.77
50,"-1","TINASHE","2 On f/Schoolboy Q",296,"+7",112,"-3",1.531,"+0.025",3,"97",49,296,115,1.531
