"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ZAYN","Pillowtalk",17606,"-233",568,"-400",108.661,"+0.306",95,"42",1,17839,2441,108.661
2,"=","MIKE POSNER","I Took A Pill In Ibiza",17089,"-30",1292,"-225",105.798,"+0.473",109,"14",2,17119,1578,105.798
3,"=","LUKAS GRAHAM","7 Years",17069,"+12",1381,"-238",104.941,"+0.921",107,"9",3,17069,2077,104.941
4,"=","FIFTH HARMONY","Work From Home",13017,"+34",1136,"-123",76.615,"+0.916",67,"13",4,13017,4059,76.615
5,"=","G-EAZY","Me Myself And I f/Bebe Rexha",11791,"-617",-2457,"-391",72.582,"-2.563",117,"65",1,16250,1836,97.757
6,"=","DNCE","Cake By The Ocean",11552,"-806",-2957,"-689",68.485,"-3.270",216,"27",2,15763,1185,92.576
7,"+1","JUSTIN BIEBER","Love Yourself",11130,"-327",-1204,"-92",74.442,"-1.512",151,"49",1,19000,4103,124.28
8,"-1","MEGHAN TRAINOR","NO",11116,"-466",-1157,"-400",57.232,"-2.185",60,"16",7,12552,5498,69.649
9,"=","ZARA LARSSON & MNEK","Never Forget You",10824,"-128",327,"-156",63.119,"-0.112",90,"22",9,10952,1534,63.231
10,"=","FLO RIDA","My House",10348,"-366",-975,"-130",65.199,"-1.173",197,"21",1,18123,2285,104.909
11,"+1","THE CHAINSMOKERS","Don't Let Me Down f/Daya",9656,"+109",1414,"-125",62.018,"+0.958",51,"10",11,9656,1906,62.018
12,"-1","ARIANA GRANDE","Dangerous Woman",9617,"-98",691,"-218",54.734,"+0.015",53,"19",11,9715,4214,54.734
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8684,"-17",422,"-13",45.659,"-0.006",107,"52",12,8717,1239,45.781
14,"=","NICK JONAS","Close f/Tove Lo",6948,"-9",462,"-74",33.901,"+0.107",39,"24",14,6957,3392,33.925
15,"=","DRAKE","One Dance f/Wizkid & Kyla",6563,"+217",2357,"-137",44.582,"+1.784",23,"1",15,6563,2494,44.582
16,"=","SELENA GOMEZ","Hands To Myself",5948,"-258",-1470,"+63",36.56,"-0.926",121,"109",1,16291,1952,91.457
17,"=","ALESSIA CARA","Wild Things",5849,"-35",284,"-84",29.082,"+0.365",93,"76",16,5884,814,29.082
18,"=","JASON DERULO","If It Ain't Love",5697,"+10",547,"-48",27.623,"-0.034",32,"117",17,5697,2192,27.657
19,"=","JAMES BAY","Let It Go",5082,"+24",566,"-108",28.414,"+0.546",72,"28",19,5082,885,28.414
20,"=","RUTH B.","Lost Boy",3827,"-1",474,"-53",18.377,"+0.114",78,"18",20,3828,530,18.377
21,"+1","PINK","Just Like Fire",3662,"+35",1079,"-275",17.549,"+0.438",18,"33",21,3662,2189,17.549
22,"-1","IGGY AZALEA","Team",3561,"-88",80,"-101",12.284,"-0.213",44,"100",21,3649,1132,12.711
23,"=","RIHANNA","Kiss It Better",3481,"+9",526,"-51",15.648,"+0.017",27,"85",23,3481,1133,15.648
24,"+2","GRACE","You Don't Own Me f/G-Eazy",2905,"+22",562,"-102",11.854,"+0.107",46,"66",24,2905,664,11.854
25,"+2","RIHANNA","Work f/Drake",2676,"-199",-872,"-11",17.966,"-0.787",97,"41",8,11661,3999,67.246
26,"+2","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",2596,"+16",328,"-43",11.518,"-0.025",25,"62",26,2596,1675,13.913
27,"-2","TROYE SIVAN","Youth",2561,"-395",-2397,"-256",10.564,"-1.163",121,"78",17,5443,660,22.213
28,"-4","JUSTIN BIEBER","Company",2479,"-541",-3043,"-321",11.801,"-2.283",65,"170",16,6486,2006,31.446
29,"=","FLUME","Never Be Like You f/Kai",2399,"+11",359,"-35",12.634,"+0.095",49,"87",29,2399,487,12.634
30,"=","TWENTY ONE PILOTS","Ride",2349,"+65",718,"-22",9.519,"+0.432",23,"64",30,2349,764,9.519
31,"+1","CALVIN HARRIS","This Is What You... f/Rihanna",2279,"+314",2279,"+314",23.422,"+2.888",4,"4",31,2279,2279,23.422
32,"-1","SIA","Cheap Thrills",1965,"-23",256,"-73",8.986,"+0.020",56,"102",30,1988,329,8.986
33,"+1","DESIIGNER","Panda",1649,"+106",806,"+29",10.826,"+0.425",13,"8/73",33,1649,806,10.826
34,"-1","MAJOR LAZER","Light It Up f/Nyla",1615,"-29",38,"-34",5.695,"-0.038",62,"171",32,1644,288,5.795
35,"=","JEREMIH","Oui",1397,"-43",143,"-69",4.397,"+0.002",44,"71",34,1440,263,4.397
36,"+1","ELLIE GOULDING","Army",1388,"+123",642,"+25",4.282,"+0.318",9,"--",36,1388,733,4.282
37,"-1","DAYA","Sit Still, Look Pretty",1365,"+7",163,"-53",4.062,"-0.026",37,"121",36,1365,250,4.107
38,"+1","BEBE REXHA","No Broken Hearts f/Nicki Minaj",1188,"+21",303,"-16",3.906,"+0.086",18,"329",38,1188,319,3.906
39,"-1","HAILEE STEINFELD","Rock Bottom f/DNCE",1134,"-79",-254,"-65",2.756,"-0.269",61,"179",32,1409,560,3.761
40,"=","MELANIE MARTINEZ","Pity Party",1088,"-41",47,"-75",3.6,"-0.039",35,"181",40,1129,316,3.639
41,"+1","HALSEY","Colors",954,"-34",-87,"-29",2.586,"-0.027",58,"304",38,1076,304,2.982
42,"+1","BELLY","Might Not f/The Weeknd",948,"-3",170,"-29",4.148,"-0.032",22,"125",42,951,246,4.18
