"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FOSTER THE PEOPLE Pumped Up Kicks",1737,-2,48,2,8.808,-0.058,52,1,1739,265,8.866
2,"=","DEATH CAB FOR CUTIE You Are A Tourist",1632,-31,-17,-36,7.566,-0.183,52,2,1688,226,7.892
3,"=","INCUBUS Adolescents",1365,-25,-71,-29,8.249,-0.198,52,3,1436,162,8.791
4,"+1","COLDPLAY Every Teardrop Is A Waterfall",1308,4,99,-2,6.744,-0.083,29,4,1308,829,6.882
5,"-1","SUBLIME WITH ROME Panic",1294,-23,7,-16,5.897,-0.206,52,4,1321,513,6.557
6,"=","AIRBORNE TOXIC EVENT Changing",1247,-9,-44,-15,5.249,0.02,52,4,1304,191,5.581
7,"=","FOO FIGHTERS Walk",1223,10,202,-20,6.523,0.036,34,7,1223,354,6.523
8,"=","FOO FIGHTERS Rope",1153,-15,-133,6,7.688,-0.205,52,1,2006,128,12.051
9,"=","AWOLNATION Sail",1141,15,52,22,4.329,0.065,52,8,1141,130,4.715
10,"=","BLACK KEYS Howlin' For You",1050,0,20,-10,5.729,0.186,52,2,1525,146,6.937
11,"+1","NAKED AND FAMOUS Young Blood",1049,16,41,17,3.91,0.023,52,11,1049,135,4.105
12,"-1","MUMFORD & SONS The Cave",1036,2,-44,7,4.84,-0.037,52,3,1450,89,7.488
13,"=","RISE AGAINST Help Is On The Way",1015,-17,-42,-10,5.213,-0.039,52,2,1492,103,7.451
14,"=","311 Sunset In July",891,8,142,-1,3.831,-0.092,26,14,891,323,3.923
15,"=","CAGE THE ELEPHANT Shake Me Down",831,-10,-70,-4,6.268,-0.048,52,9,1181,47,7.17
16,"=","SEETHER Country Song",801,-15,-99,-2,4.366,-0.203,52,11,997,180,5.345
17,"=","CAGE THE ELEPHANT Around My Head",714,10,83,2,2.449,0.006,52,17,714,123,2.487
18,"+1","JOY FORMIDABLE Whirring",651,0,81,-25,2.016,-0.045,52,18,651,121,2.061
19,"-1","SICK PUPPIES Riptide",643,-22,-90,-14,2.632,-0.061,52,16,772,77,2.991
20,"=","RISE AGAINST Make It Stop (September's.....",607,9,89,-2,3.014,-0.083,34,20,607,153,3.097
21,"=","DANGER MOUSE & DANIELE LUPPI Two Against...",586,-5,-8,-7,2.096,-0.043,52,19,598,99,2.155
22,"=","REDLIGHT KING Old Man",527,-6,-41,-9,2.124,-0.059,52,17,592,82,2.689
23,"=","LINKIN PARK Iridescent",525,1,1,-5,1.855,0.016,52,19,525,114,2.386
24,"=","AVENGED SEVENFOLD So Far Away",516,-3,-1,-18,2.008,-0.073,52,23,529,115,2.16
25,"=","TWO DOOR CINEMA CLUB What You Know",463,-5,1,-20,1.621,-0.08,52,25,468,81,1.701
26,"=","ADELE Rolling In The Deep",422,-3,-35,6,1.533,-0.013,52,17,522,38,3.181
27,"=","CAKE Long Time",385,5,45,0,1.631,0.038,52,27,385,63,1.631
28,"=","THREE DAYS GRACE Lost In You",380,0,-36,1,2.144,0.036,52,18,449,56,2.248
29,"=","MUMFORD & SONS Roll Away Your Stone",368,10,32,6,1.457,0.111,41,29,368,89,1.457
30,"=","PARAMORE Monster",323,10,32,15,1.331,0.021,24,30,323,188,1.495
31,"=","A DAY TO REMEMBER All Signs Point To Lau...",281,4,76,1,1.298,0.004,31,31,281,79,1.298
32,"=","KORN Get Up f/Skrillex",266,3,18,9,1.095,0.02,52,32,266,46,1.095
33,"=","TV ON THE RADIO Will Do",258,4,18,-2,0.676,0.024,52,33,259,58,0.699
34,"=","MY CHEMICAL ROMANCE Bulletproof Heart",240,-9,-107,11,0.542,-0.02,52,19,494,67,1.412
36,"-1","STROKES Taken For A Fool",233,-3,6,-2,1.053,-0.02,38,35,238,68,1.148
35,"+2","FLORENCE + THE MACHINE You've Got The Lo...",233,4,38,1,0.677,-0.001,13,35,233,93,0.755
37,"+1","10 YEARS Fix Me",224,-1,-27,-1,1.739,0.071,38,34,251,63,2.087
39,"-3","BEASTIE BOYS Make Some Noise",218,-13,-150,8,0.94,-0.008,52,9,1232,29,4.945
38,"+2","MIDDLE CLASS RUT Busy Bein' Born",218,-1,11,-11,0.727,0.045,48,38,220,46,0.727
40,"-1","PAPA ROACH Burn",217,-4,-45,1,1.734,-0.009,52,25,405,41,2.4
41,"=","SIXX A.M. Lies Of The Beautiful People",209,-6,-5,-11,0.724,-0.028,52,37,219,37,0.776
42,"=","DISTURBED Warrior",181,1,-3,3,0.846,0.034,51,35,208,41,0.958
43,"=","MY MORNING JACKET Holdin On To Black Met...",180,8,8,12,0.616,-0.001,52,40,180,52,0.678
44,"=","ADELITAS WAY Sick",167,4,11,2,0.594,-0.021,31,44,167,49,0.627
45,"+3","TAKING BACK SUNDAY Faith (When I Let You...",149,3,-1,8,0.292,0.026,14,45,169,51,0.321
46,"+1","PANIC AT THE DISCO The Ballad Of Mona Li...",148,1,-68,30,0.681,0.012,52,25,374,81,1.683
47,"-1","COMPANY OF THIEVES Death Of Communicatio...",146,-5,-1,-6,0.435,-0.027,47,42,167,46,0.477
48,"+1","PORTUGAL. THE MAN Got It All (This Can't...",145,0,12,2,0.282,0.006,6,48,145,13,0.282
49,"-4","THIRTY SECONDS TO MARS Night Of The Hunt...",143,-9,-38,-9,1.313,-0.059,13,44,181,53,1.407
50,"=","KINGS OF LEON Back Down South",133,-1,8,-1,0.2,0.004,7,48,134,58,0.22
