"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BUSH The Sound Of Winter",1672,5,0,38,8.216,0.003,91,"--",1,1755,344,8.814
2,"=","FOO FIGHTERS Walk",1511,-18,-91,43,9.312,-0.076,147,"243",1,2051,354,10.915
3,"=","RED HOT CHILI PEPPERS Adventures Of Rain...",1442,-30,-134,16,7.114,-0.048,99,"93",1,2071,1306,9.352
4,"=","FOSTER THE PEOPLE Pumped Up Kicks",1336,-4,-27,17,8.22,-0.097,165,"4",1,1855,265,9.607
5,"=","YOUNG THE GIANT Cough Syrup",1273,24,103,34,5.424,0.085,111,"259",5,1273,152,5.424
6,"=","BLINK 182 Up All Night",1148,-37,-245,38,4.349,-0.213,100,"--",3,1607,918,7.107
7,"=","AWOLNATION Sail",1099,-1,7,16,5.076,0.131,165,"59",5,1325,156,5.774
8,"=","FOSTER THE PEOPLE Helena Beat",1059,-3,64,-5,4.178,-0.09,113,"155",8,1067,149,4.333
9,"=","COLDPLAY Paradise",997,-5,50,9,5.193,-0.018,39,"9",9,1004,369,5.243
10,"=","RISE AGAINST Make It Stop (September's.....",981,-7,-97,56,4.622,-0.186,147,"--",6,1150,153,5.557
11,"=","MUMFORD & SONS Roll Away Your Stone",972,-13,47,-11,3.936,-0.051,154,"516",9,987,197,3.987
12,"=","SWITCHFOOT Dark Horses",883,11,62,6,3.363,0.071,86,"--",12,883,121,3.363
13,"=","INCUBUS Promises, Promises",784,4,47,16,4.695,0.104,101,"--",13,784,103,4.695
14,"=","JANE'S ADDICTION Irresistible Force",753,-18,-56,1,2.069,-0.054,80,"--",10,868,436,2.59
15,"=","GROUPLOVE Colours",715,-8,34,-26,2.442,-0.041,83,"938",15,723,106,2.483
16,"=","CHEVELLE Face To The Floor",663,18,104,-14,2.573,0.145,23,"126",16,663,275,2.573
17,"=","EVANESCENCE What You Want",629,-3,40,-7,2.31,0.03,72,"--",17,632,238,2.31
18,"+2","CAGE THE ELEPHANT Aberdeen",623,29,80,15,1.809,0.111,49,"--",18,623,105,1.809
19,"-1","SEETHER Tonight",620,-5,33,-16,2.487,0.003,83,"276",17,625,86,2.487
20,"-1","JOY FORMIDABLE Whirring",600,-6,-91,32,1.806,-0.059,165,"--",7,1096,163,3.705
21,"=","NAKED AND FAMOUS Punching In A Dream",530,6,76,0,1.421,-0.007,67,"673",21,530,105,1.428
22,"=","STAIND Not Again",463,-6,-38,-6,1.671,0.052,98,"--",17,545,209,2.07
23,"+1","SUBLIME WITH ROME Take It Or Leave It",446,13,46,1,2.047,0.062,56,"--",23,446,78,2.283
24,"-1","AIRBORNE TOXIC EVENT All I Ever Wanted",435,-1,33,-11,1.353,-0.041,59,"--",23,436,108,1.394
25,"=","SLEEPER AGENT Get It Daddy",427,2,-2,6,0.931,0.019,95,"--",22,437,60,0.931
26,"=","KOOKS Junk Of The Heart",418,3,-16,20,0.914,0.039,93,"--",21,451,81,1.034
27,"=","BLINK 182 After Midnight",384,17,135,-4,2.061,0.096,21,"--",27,384,139,2.061
28,"=","FOO FIGHTERS These Days",379,25,108,7,1.535,0.171,35,"--",28,379,108,1.535
29,"+1","FLORENCE + THE MACHINE Shake It Out",356,13,91,8,1.464,-0.009,19,"95",29,356,148,1.473
30,"-1","MIDDLE CLASS RUT Busy Bein' Born",348,0,-32,9,1.065,-0.028,161,"--",24,406,46,1.465
31,"=","EVERLAST I Get By",344,3,35,-2,1.388,0.009,60,"260",28,344,53,1.388
32,"=","NOEL GALLAGHER If I Had A Gun",332,8,19,17,1.145,0.073,48,"--",30,332,107,1.238
33,"=","BLUE OCTOBER The Chills",283,-6,-50,-5,0.745,-0.066,87,"--",27,358,67,1.498
34,"=","DEATH CAB FOR CUTIE Stay Young, Go Danci...",276,0,-7,-2,0.699,0.028,49,"--",31,289,63,0.766
35,"=","311 Sunset In July",268,-3,-25,59,1.355,-0.019,139,"--",7,1029,323,4.133
36,"+1","MUTEMATH Blood Pressure",265,10,47,10,0.494,0.011,47,"--",34,265,49,0.59
37,"-1","NICKELBACK Bottoms Up",264,-2,-8,-1,1.192,-0.093,25,"288",33,275,145,1.393
38,"=","AWOLNATION Not Your Fault",238,10,61,2,0.659,-0.056,25,"--",38,238,61,0.715
39,"=","SHE WANTS REVENGE Take The World",198,-3,14,-2,0.704,-0.026,56,"--",35,201,40,0.957
40,"+1","RED HOT CHILI PEPPERS Monarchy Of Roses",192,19,114,7,0.7,0.033,7,"--",40,192,114,0.7
41,"-1","FIVE FINGER DEATH PUNCH Under And Over I...",176,2,-3,-3,0.463,0.012,70,"833",38,184,25,0.508
42,"=","311 Count Me In",153,9,64,-8,0.444,0.006,8,"--",42,153,77,0.444
43,"=","KORN F/SKRILLEX/KILL THE NOISE Narcissis...",151,14,99,0,0.501,0.02,5,"--",43,151,106,0.501
44,"=","REDLIGHT KING Bullet In My Hand",137,1,-14,3,0.499,0.03,49,"--",41,153,47,0.514
45,"+1","AVENGED SEVENFOLD Buried Alive",126,4,8,3,0.358,0.032,23,"--",42,126,46,0.378
46,"-1","MASTODON Curl Of The Burl",121,-2,12,-1,0.404,0.011,14,"--",42,123,20,0.404
47,"+2","ADELE Someone Like You",120,12,71,10,0.712,0.045,3,"3",47,120,71,0.712
48,"-1","PAPA ROACH No Matter What",120,2,11,2,0.291,0.008,35,"--",43,121,30,0.373
49,"-1","HOLLYWOOD UNDEAD Bullet",110,1,0,2,0.242,0.007,37,"--",43,122,26,0.302
50,"=","KASABIAN Days Are Forgotten",103,-1,14,-3,0.139,-0.001,14,"--",48,104,17,0.14
