"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","MUSE","Dead Inside",2653,-19,-54,-40,9.573,-0.175,64,"268",1,2736,1518,10.527
2,"=","DEATH CAB FOR CUTIE","Black Sun",2291,-19,-92,-21,8.181,-0.154,120,"570",2,2393,956,9.327
3,"+1","X AMBASSADORS","Renegades",1899,37,249,-2,7.647,0.066,37,"70",3,1899,537,7.711
4,"-1","AWOLNATION","Hollow Moon (Bad Wolf)",1846,-59,-367,-41,6.007,-0.152,119,"389",1,2644,895,9.428
5,"=","MUMFORD & SONS","Believe",1780,-16,-96,-3,7.86,-0.127,78,"132",1,2688,1782,12.403
6,"+1","TWENTY ONE PILOTS","Tear In My Heart",1774,19,154,0,6.104,-0.086,49,"111",6,1774,778,6.372
7,"-1","VANCE JOY","Mess Is Mine",1769,-10,-52,-13,6.242,-0.006,174,"283",6,1832,164,6.903
8,"=","WALK THE MOON","Shut Up And Dance",1747,-5,-104,3,8.208,-0.183,245,"3",1,2758,250,13.024
9,"=","FOO FIGHTERS","Congregation",1612,-83,-423,-69,5.406,-0.196,110,"--",4,2165,424,8.03
10,"=","ANDREW MCMAHON IN WILDERNESS","Cecilia And The Satellite",1575,-9,7,-38,6.087,-0.039,249,"356",9,1594,138,6.548
11,"=","OF MONSTERS AND MEN","Crystals",1568,19,70,13,5.037,0.064,70,"404",11,1568,800,5.28
12,"=","SAINT MOTEL","My Type",1495,-8,-18,-12,4.979,-0.065,126,"272",10,1525,151,5.443
13,"=","MUMFORD & SONS","The Wolf",1322,8,54,-14,3.534,0.116,45,"513",13,1322,380,3.534
14,"=","ALABAMA SHAKES","Don't Wanna Fight",1125,12,11,9,2.983,-0.002,96,"343",14,1136,186,3.289
15,"=","IMAGINE DRAGONS","Shots",1095,-10,-79,-12,2.78,0.01,90,"447",14,1195,217,3.069
16,"=","MEG MYERS","Sorry",1071,11,80,9,2.814,0.064,82,"862",16,1071,243,2.992
17,"=","WOLF ALICE","Moaning Lisa Smile",950,12,70,-9,2.958,0.064,65,"--",17,950,178,2.958
18,"=","JAMES BAY","Hold Back The River",912,3,140,-26,2.291,-0.015,68,"134",18,912,166,2.401
19,"=","IN THE VALLEY BELOW","Peaches",847,12,76,12,2.365,0.087,107,"194",19,847,102,2.365
20,"=","OFFSPRING","Coming For You",708,-12,-144,14,3.409,0.043,112,"--",14,1149,303,4.867
21,"=","PANIC! AT THE DISCO","Hallelujah",671,10,41,-2,2.61,0.006,32,"189",21,673,249,2.84
22,"=","COLD WAR KIDS","First",652,2,83,-14,2.139,-0.037,77,"309",22,652,119,2.387
23,"=","ROYAL BLOOD","Little Monster",621,11,-7,21,1.08,0.057,74,"--",21,638,157,1.097
24,"=","NIGHT RIOTS","Contagious",576,-5,-11,-12,0.967,-0.011,135,"--",23,589,63,1.035
25,"=","ELLE KING","Ex's and Oh's",537,4,107,-15,1.284,-0.071,23,"138",25,537,176,1.355
26,"=","BORNS","Electric Love",464,-1,12,-13,0.834,0,59,"--",26,466,126,0.98
27,"=","BREAKING BENJAMIN","Failure",443,9,31,17,1.301,0.027,60,"253",27,443,231,1.336
28,"=","FALL OUT BOY","Uma Thurman",375,0,-28,8,1.452,0.013,116,"40",27,443,75,1.702
29,"=","MS MR","Painted",330,5,25,7,0.467,0.015,40,"--",29,330,87,0.612
30,"=","CATFISH AND THE BOTTLEMEN","Cocoon",308,10,46,1,0.693,-0.009,18,"--",30,308,110,0.713
31,"+3","FLORENCE + THE MACHINE","Ship To Wreck",290,13,142,-14,0.823,0.064,8,"193",31,290,156,0.823
32,"-1","LIFE IN FILM","Get Closer",288,-6,-2,-9,0.319,-0.015,72,"--",31,320,57,0.402
33,"+2","SUBLIME WITH ROME","Wherever You Go",286,26,164,7,0.501,0.022,7,"1014",33,286,164,0.501
34,"-2","GLASS ANIMALS","Black Mambo",286,-2,42,-7,0.602,0.018,29,"--",32,288,81,0.602
35,"+1","MODEST MOUSE","The Ground Walks, With Time...",276,17,114,11,0.571,0.018,9,"--",35,276,114,0.571
36,"-3","BLEACHERS","Like A River Runs",271,-12,6,-14,0.401,-0.005,20,"--",33,283,117,0.406
37,"+1","NEW POLITICS","West End Kids",266,16,144,0,0.712,0.057,6,"--",37,266,144,0.712
38,"-1","WOMBATS","Greek Tragedy",249,-4,10,-12,0.408,-0.029,44,"--",37,253,53,0.563
39,"+1","SHEPPARD","Geronimo",228,-16,-57,-22,1.057,-0.239,161,"44",33,332,65,2.056
40,"-1","FLORENCE + THE MACHINE","What Kind Of Man",216,-34,-294,1,0.486,-0.068,101,"211",8,1738,711,6.846
41,"+1","YELAWOLF","American You",210,-6,-24,-15,0.428,-0.015,40,"998",40,260,73,0.678
42,"-1","INCUBUS","Absolution Calling",207,-11,-66,-8,0.558,-0.024,109,"--",18,881,507,2.938
43,"=","VINYL THEATRE","Breaking Up My Bones",202,-6,39,-14,0.303,0.006,17,"--",43,208,53,0.308
44,"=","THE STRUTS","Could Have Been Me",187,8,73,-4,1.212,0.047,5,"--",44,187,87,1.212
