"Title","Artist","Spins"
"Dead Inside","MUSE",2464
"Renegades","X AMBASSADORS",2414
"Tear In My Heart","TWENTY ONE PILOTS",2119
"Black Sun","DEATH CAB FOR CUTIE",1884
"Mess Is Mine","VANCE JOY",1818
"Crystals","OF MONSTERS AND MEN",1805
"Believe","MUMFORD & SONS",1785
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",1636
"Shut Up And Dance","WALK THE MOON",1591
"My Type","SAINT MOTEL",1553
"Hollow Moon (Bad Wolf)","AWOLNATION",1464
"The Wolf","MUMFORD & SONS",1446
"Don't Wanna Fight","ALABAMA SHAKES",1261
"Hold Back The River","JAMES BAY",1218
"Moaning Lisa Smile","WOLF ALICE",1153
"Sorry","MEG MYERS",1114
"Shots","IMAGINE DRAGONS",1073
"Ex's and Oh's","ELLE KING",925
"Peaches","IN THE VALLEY BELOW",885
"First","COLD WAR KIDS",862
"Congregation","FOO FIGHTERS",812
"Hallelujah","PANIC! AT THE DISCO",769
"Little Monster","ROYAL BLOOD",717
"Contagious","NIGHT RIOTS",560
"Electric Love","BORNS",539
"Coming For You","OFFSPRING",511
"Failure","BREAKING BENJAMIN",479
"Wherever You Go","SUBLIME WITH ROME",454
"Ship To Wreck","FLORENCE + THE MACHINE",441
"The Ground Walks, With Time...","MODEST MOUSE",417
"Uma Thurman","FALL OUT BOY",385
"Painted","MS MR",367
"Cocoon","CATFISH AND THE BOTTLEMEN",362
"West End Kids","NEW POLITICS",356
"Black Mambo","GLASS ANIMALS",344
"Greek Tragedy","WOMBATS",320
"Like A River Runs","BLEACHERS",306
"Could Have Been Me","THE STRUTS",276
"I'm In Love With My Life","PHASES",234
"American You","YELAWOLF",227
"Get Closer","LIFE IN FILM",221
"Sedona","HOUNDMOUTH",214
"Can You Blame Me","MATT AND KIM",210
"2 Heads","COLEMAN HELL",200
"Holy Dove","CIVIL TWILIGHT",197
"Hunger Of The Pine","ALT-J",192
"Songs I Can't Listen To","NEON TREES",191
"The Prophet","SLIGHTLY STOOPID",181
"The Shade (I Want It All)","METRIC",181
"Now","JOYWAVE",175
