"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",4966,"-22",-140,"+14",27.587,"-0.078",64,1,5540,342,29.393
2,"=","BRUNO MARS Lazy Song",4454,"-6",109,"-51",22.229,"-0.049",64,2,4460,564,22.506
3,"=","ONEREPUBLIC Good Life",4316,"+8",268,"-42",21.206,"+0.178",64,3,4316,408,21.206
4,"=","LADY GAGA The Edge Of Glory",3774,"+57",382,"+19",19.654,"+0.065",56,4,3774,631,19.654
5,"=","MAROON 5 Never Gonna Leave This Bed",3547,"-35",-72,"-10",18.143,"-0.034",64,4,3782,246,18.678
6,"=","ANDY GRAMMER Keep Your Head Up",3493,"+18",202,"+14",15.926,"+0.060",64,6,3493,291,15.926
7,"=","PINK F**kin' Perfect (Perfect)",3186,"-14",-15,"+4",18.02,"-0.077",64,2,4534,67,24.858
8,"+1","TRAIN Save Me San Francisco",3033,"+20",202,"+13",12.69,"-0.099",64,8,3033,355,12.845
9,"-1","KATY PERRY E.T.",3008,"-69",-323,"-22",15.486,"-0.326",64,2,4417,523,23.302
10,"=","THE SCRIPT For The First Time",2859,"-13",44,"+26",16.377,"+0.064",64,3,4317,123,21.065
11,"=","JASON ALDEAN/KELLY CLARKSON Don't You Wa...",2713,"+26",204,"+6",14.734,"-0.166",64,11,2713,328,14.9
12,"=","BLACK EYED PEAS Just Can't Get Enough",2281,"+27",102,"+29",12.665,"+0.093",64,12,2281,292,12.733
13,"=","KATY PERRY Last Friday Night (T.G.I.F.)",2269,"+69",420,"+7",12.65,"+0.155",32,13,2269,703,12.65
14,"=","COLDPLAY Every Teardrop Is A Waterfall",2164,"+25",209,"-13",10.35,"+0.188",36,13,2164,560,10.35
15,"=","PARACHUTE Something To Believe In",2008,"+0",79,"+12",6.779,"-0.063",64,13,2008,189,7.097
16,"=","HOT CHELLE RAE Tonight Tonight",1722,"+53",337,"+14",7.251,"+0.090",53,16,1722,356,7.251
17,"=","THE BAND PERRY If I Die Young",1625,"+43",238,"+9",7.631,"+0.245",47,17,1625,307,7.631
18,"=","STEVEN TYLER (It) Feels So Good",1448,"-12",13,"-17",5.682,"-0.101",60,16,1460,270,5.905
19,"=","CHRISTINA PERRI Arms",1359,"+6",72,"-23",3.764,"+0.016",64,19,1359,179,3.764
20,"=","JESSIE J Price Tag f/B.O.B",1280,"+2",72,"+6",6.324,"-0.144",64,18,1280,162,6.478
21,"=","MATT NATHANSON Faster",1088,"+10",108,"-2",3.327,"+0.077",64,21,1088,137,3.327
22,"=","BRITNEY SPEARS Till The World Ends",972,"-24",-14,"-23",6.199,"-0.170",64,17,1171,193,6.394
23,"=","NEON TREES Your Surrender",887,"+1",35,"+2",2.156,"+0.002",64,23,887,110,2.156
24,"=","PITBULL Give Me Everything f/Ne-Yo",844,"+10",101,"-12",3.576,"+0.174",33,24,844,229,3.576
25,"=","THREE DAYS GRACE Lost In You",761,"-4",12,"-16",1.665,"+0.030",64,25,765,79,1.668
26,"=","LIFEHOUSE Falling In",744,"-12",-22,"-10",4.344,"+0.011",64,10,2169,62,11.084
27,"+1","GOO GOO DOLLS All That You Are",716,"+13",149,"+2",2.756,"+0.039",29,27,716,171,2.756
28,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",705,"-14",-46,"-16",3.315,"-0.117",64,24,909,148,4.073
29,"=","DAVID COOK Last Goodbye",592,"-8",-4,"-19",1.585,"-0.009",62,29,602,102,1.594
30,"+1","MAT KEARNEY Hey Mama",587,"+8",23,"+0",1.113,"+0.021",64,30,587,75,1.113
31,"+1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",576,"+69",255,"+42",2.852,"+0.325",11,31,576,255,2.852
32,"-2","TAYLOR SWIFT The Story Of Us",575,"-4",24,"-13",2.728,"+0.012",58,30,581,68,2.893
33,"=","FOSTER THE PEOPLE Pumped Up Kicks",507,"+11",39,"-1",1.403,"+0.004",22,32,507,141,1.403
34,"=","GAVIN DEGRAW Not Over You",456,"+8",48,"+7",1.355,"-0.005",30,33,456,138,1.36
35,"=","COLBIE CAILLAT Brighter Than The Sun",440,"+3",62,"-13",0.757,"+0.003",17,35,440,120,0.757
36,"=","MICHELLE BRANCH Loud Music",398,"+10",52,"+3",0.772,"-0.001",18,36,398,119,0.773
37,"+2","LMFAO Party Rock Anthem",373,"+13",33,"+6",1.412,"+0.006",20,37,373,125,1.472
38,"-1","FITZ & THE TANTRUMS MoneyGrabber",373,"+2",-28,"+2",1.123,"+0.113",64,35,413,29,1.161
39,"-1","JASON DERULO Don't Wanna Go Home",362,"-1",13,"-7",1.076,"+0.005",25,38,368,75,1.09
40,"=","CEE LO GREEN Bright Lights Bigger City",327,"+1",-15,"+8",0.915,"-0.009",39,38,369,81,1.472
41,"=","LENNY KRAVITZ Stand",319,"+11",93,"+10",0.845,"+0.031",11,41,319,93,0.845
42,"=","GRACE POTTER & THE NOCTURNALS Paris (Ooh...",277,"-28",-155,"-6",0.775,"-0.076",64,19,1206,101,4.691
