"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Set Fire To The Rain",4839,"+32",203,"+8",28.017,"+0.273",88,"4",1,4839,797,28.017
2,"=","KATY PERRY The One That Got Away",4596,"-15",-92,"-42",28.74,"+0.176",117,"46",1,4688,472,28.74
3,"=","BRUNO MARS It Will Rain",4261,"-6",81,"-18",25.375,"-0.134",130,"29",3,4267,579,25.509
4,"=","GAVIN DEGRAW Not Over You",3939,"+6",-147,"+41",21.805,"+0.101",239,"19",1,4384,354,25.25
5,"=","RIHANNA We Found Love f/Calvin Harris",3190,"+0",70,"-15",22.156,"-0.002",111,"20",5,3212,361,22.158
6,"+1","KELLY CLARKSON Stronger (What Doesn't Ki...",3108,"+85",717,"-18",20.283,"+0.742",35,"2",6,3108,855,20.283
7,"-1","KELLY CLARKSON Mr. Know It All",2991,"-46",-355,"+19",19.183,"-0.275",160,"70",1,4553,947,27.314
8,"=","DAUGHTRY Crawling Back To You",2875,"-23",-165,"+9",14.431,"-0.255",140,"643",6,3196,901,16.959
9,"=","COLDPLAY Paradise",2804,"+27",145,"+23",15.056,"+0.317",128,"25",9,2804,274,15.056
10,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",2744,"-21",-115,"+7",18.073,"-0.282",220,"28",1,5169,599,29.564
11,"=","FRAY Heartbeat",2711,"-11",-4,"-32",11.281,"-0.098",119,"62",9,2736,528,11.773
12,"=","TRAIN Drive By",2464,"+13",409,"-73",13.064,"+0.081",29,"43",12,2464,795,13.064
13,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",2070,"-24",-231,"+9",12.696,"-0.026",167,"--",7,3016,521,19.539
14,"=","DAVID GUETTA Without You f/Usher",2064,"-10",-108,"+4",13.432,"+0.028",138,"58",14,2285,313,13.95
15,"=","CHRISTINA PERRI A Thousand Years",2016,"+11",141,"+6",9.848,"+0.042",94,"21",15,2016,299,9.848
16,"=","JESSIE J Domino",1895,"+53",461,"-24",10.267,"+0.173",59,"15",16,1895,485,10.267
17,"=","SELENA GOMEZ & THE SCENE Love You Like A...",1565,"+1",142,"-35",7.486,"-0.210",69,"40",17,1565,320,7.696
18,"=","SNOW PATROL Called Out In The Dark",1420,"+7",157,"-14",4.221,"+0.019",144,"212",18,1420,209,4.221
19,"=","ANDY GRAMMER Fine By Me",1296,"+12",53,"-5",4.106,"+0.025",80,"489",19,1296,245,4.106
20,"=","ELLIE GOULDING Lights",1253,"-2",70,"-10",5.091,"+0.024",147,"108",17,1261,180,5.091
21,"=","HOT CHELLE RAE I Like It Like That f/New...",1233,"+16",102,"-4",4.267,"+0.081",64,"31",21,1233,199,4.267
22,"=","JASON MRAZ I Won't Give Up",1036,"+56",372,"-16",5.056,"+0.342",24,"57",22,1036,388,5.056
23,"=","FLORENCE + THE MACHINE Shake It Out",850,"+20",93,"+12",2.97,"+0.015",100,"--",23,850,101,2.97
24,"=","FLO RIDA Good Feeling",713,"+9",69,"+15",3.403,"+0.093",87,"8",24,713,99,3.403
25,"=","FOSTER THE PEOPLE Don't Stop (Color On T...",705,"+26",128,"+8",2.584,"+0.170",59,"119",25,705,151,2.584
