"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","NEON TREES","Everybody Talks",4422,9,139,-44,30.648,0.043,166,"9",1,4422,466,30.648
2,"+1","PINK","Blow Me (One Last Ki...",4381,40,254,-27,31.805,0.453,55,"18",2,4381,1105,31.805
3,"-1","KATY PERRY","Wide Awake",4332,-31,-195,-41,31.882,-0.253,98,"21",1,4614,654,33.813
4,"=","ELLIE GOULDING","Lights",3839,10,-2,-22,28.539,0.128,262,"22",4,3873,480,28.539
5,"=","MAROON 5","Payphone f/Wiz Khali...",3789,2,-129,39,28.963,0.145,134,"35",1,5337,1497,36.256
6,"=","CARLY RAE JEPSEN","Call Me Maybe",3211,-10,-241,42,24.689,-0.08,147,"8",2,5022,723,35.369
7,"+1","MATCHBOX TWENTY","She's So Mean",2876,18,98,-3,19.32,0.142,77,"28",7,2876,820,19.32
8,"-1","GOTYE","Somebody That I Used...",2849,-48,-289,-31,21.163,-0.245,214,"40",1,5383,658,36.712
9,"=","KELLY CLARKSON","Dark Side",2778,-35,-318,-19,16.181,-0.184,93,"39",8,3199,443,19.085
10,"=","FUN.","Some Nights",2749,60,288,15,16.416,0.174,74,"3",10,2749,497,16.416
11,"=","TRAIN","50 Ways To Say Goodb...",2657,30,135,9,15.562,0.26,88,"15",10,2657,401,15.562
12,"=","PHILLIP PHILLIPS","Home",2408,46,305,13,13.849,0.308,84,"5",12,2408,383,13.849
13,"=","MAROON 5","One More Night",2092,47,279,-14,14.263,0.445,42,"2",13,2092,430,14.263
14,"=","NO DOUBT","Settle Down",2029,2,-38,-3,12.625,0.153,43,"68",13,2079,920,12.924
15,"+1","TAYLOR SWIFT","We Are Never Ever Ge...",1987,90,751,369,16.147,0.364,15,"1",15,1987,1424,16.147
16,"-1","KARMIN","Broken Hearted",1872,-51,-334,5,13.57,-0.197,128,"84",8,2797,464,17.522
17,"=","ED SHEERAN","The A Team",1733,-7,-13,-29,11.68,0.066,150,"69",16,1748,180,11.709
18,"=","OWL CITY & CARLY RAE...","Good Time",1731,16,69,-36,12.035,0.187,52,"6",18,1731,318,12.035
19,"=","ALEX CLARE","Too Close",1470,38,180,13,8.581,0.349,90,"12",19,1470,189,8.581
20,"=","GROUPLOVE","Tongue Tied",1056,-68,-381,-61,5.823,-0.154,108,"61",18,1537,172,7.375
21,"=","LINKIN PARK","Burn It Down",905,18,73,9,3.535,0.066,81,"66",21,905,119,3.535
22,"+1","CHRISTINA PERRI","Distance",754,-1,20,-14,2.565,-0.016,54,"--",22,755,135,3.168
23,"+1","OF MONSTERS AND MEN","Little Talks",741,4,58,0,3.413,-0.157,53,"36",23,741,143,3.642
24,"-2","RIHANNA","Where Have You Been",741,-30,-404,8,4.335,-0.119,109,"49",20,1292,206,6.52
25,"=","JUNIOR DOCTOR","Uh Oh",696,-25,-41,-22,2.027,-0.101,135,"--",24,741,65,2.215
26,"+1","CHER LLOYD","Want U Back",666,18,75,-4,2.329,0.051,39,"10",26,666,145,2.329
27,"-1","DAVID GUETTA","Titanium f/Sia",660,12,90,-14,3.645,-0.048,69,"23",26,660,138,3.693
28,"=","FLO RIDA","Wild Ones f/Sia",578,1,-3,6,3.547,0.064,147,"64",16,1556,254,8.849
29,"=","ANDY GRAMMER","Miss Me",535,13,111,2,2.29,0.151,21,"--",29,535,188,2.29
30,"=","NICKI MINAJ","Starships",519,2,-23,23,5.192,-0.106,126,"104",24,858,127,6.112
31,"=","IMAGINE DRAGONS","It's Time",507,0,11,-5,0.922,-0.026,71,"53",31,507,102,1.049
32,"=","THE SCRIPT","Hall Of Fame f/will....",489,12,89,-2,1.378,0.063,27,"72",32,489,121,1.378
33,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",488,14,-28,13,1.661,0.042,47,"34",31,517,142,1.661
34,"=","TRISTAN PRETTYMAN","My Oh My",470,3,96,-14,1.812,-0.024,26,"--",34,470,132,1.853
35,"+1","GREEN DAY","Oh Love",436,17,129,4,2.355,-0.01,31,"178",35,436,129,2.391
36,"-1","RYAN STAR","Stay Awhile",423,2,21,2,1.511,0.006,103,"--",34,423,74,1.642
37,"+2","ONEREPUBLIC","Feel Again",383,73,375,65,2.549,0.428,5,"11",37,383,375,2.549
38,"-1","HEDLEY","Kiss You Inside Out",381,13,58,3,1.361,0.053,44,"--",37,381,63,1.361
39,"-1","SNOW PATROL","In The End",322,-13,-54,-5,0.539,-0.024,68,"--",33,420,84,0.715
40,"=","ALANIS MORISSETTE","Guardian",292,-8,-94,20,1.127,-0.02,107,"130",28,696,189,3.121
41,"=","FLO RIDA","Whistle",268,6,-56,6,1.137,-0.033,31,"4",40,331,74,1.772
42,"=","THE WANTED","Chasing The Sun",240,-9,-62,-27,0.765,-0.057,31,"57",42,302,74,1.087
43,"=","GREEN RIVER ORDINANC...","Heart Of Me",239,1,-1,-2,0.297,-0.006,39,"--",42,247,52,0.311
44,"=","AEROSMITH","What Could Have Been...",198,26,198,26,2.379,0.267,3,"134",44,198,198,2.379
45,"=","CASEY ABRAMS","Get Out",163,3,-10,3,0.301,0.02,13,"--",44,173,38,0.342
46,"=","LUMINEERS","Ho Hey",153,7,39,7,1.026,0.086,10,"26",45,153,39,1.026
47,"+1","JUSTIN BIEBER","As Long As You Love ...",137,8,32,-6,0.499,0.021,3,"7",47,137,38,0.499
