"Title","Artist","Spins"
"Love Me Like You Do","ELLIE GOULDING",6837
"Sugar","MAROON 5",6622
"Style","TAYLOR SWIFT",6597
"Shut Up And Dance","WALK THE MOON",6576
"Uptown Funk f/Bruno Mars","MARK RONSON",5226
"Thinking Out Loud","ED SHEERAN",4979
"Heartbeat Song","KELLY CLARKSON",4650
"Honey, I'm Good","ANDY GRAMMER",4514
"Budapest","GEORGE EZRA",3864
"I Bet My Life","IMAGINE DRAGONS",3390
"Earned It","THE WEEKND",3071
"Fight Song","RACHEL PLATTEN",2932
"Lay Me Down","SAM SMITH",2729
"Bright","ECHOSMITH",2711
"Want To Want Me","JASON DERULO",2631
"Nothing Without Love","NATE RUESS",2542
"Night Changes","ONE DIRECTION",2312
"Dear Future Husband","MEGHAN TRAINOR",2209
"Believe","MUMFORD & SONS",2094
"Talking Body","TOVE LO",1504
"One Last Time","ARIANA GRANDE",1374
"Hold Back The River","JAMES BAY",1322
"High","YOUNG RISING SONS",1262
"Overload","LIFE OF DILLON",1183
"FourFiveSeconds","RIHANNA/KANYE WEST/P MCCARTNEY",1097
"Chains","NICK JONAS",838
"Somebody f/Jeremih","NATALIE LA ROSE",820
"Beggin For Thread","BANKS",736
"Wrong Club","THE TING TINGS",718
"See You Again f/Charlie Puth","WIZ KHALIFA",698
"Time Of Our Lives f/Ne-Yo","PITBULL",686
"Hurricane","LIFEHOUSE",683
"Nobody Love","TORI KELLY",559
"Take Your Time","SAM HUNT",556
"Whistle (While You Work)","KATY TIZ",513
"Ghost Town","ADAM LAMBERT",509
"You Ruin Me","VERONICAS",484
"Billion","MAT KEARNEY",481
"I Want You To Know f/S. Gomez","ZEDD",459
"Brother f/Gavin DeGraw","NEEDTOBREATHE",450
"Uma Thurman","FALL OUT BOY",439
"Ghosttown","MADONNA",418
"Prayer In C","LILLYWOOD & ROBIN SCHULZ",396
"Elastic Heart f/The Weeknd...","SIA",345
"Sun Daze","FLORIDA-GEORGIA LINE",328
"No Way No","MAGIC!",253
"Tears Fall","JACQUIE LEE",249
"I Think I'm In Love","KAT DAHLIA",212
"Can It Be You?","NORTH OF NINE",205
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",191
