"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","WALK THE MOON","Shut Up And Dance",6651,-8,-209,-45,40.641,-0.236,190,"12",1,7333,638,46.781
2,"=","ANDY GRAMMER","Honey, I'm Good",6336,-73,-474,-86,38.803,-0.268,163,"9",1,6997,620,41.716
3,"=","TAYLOR SWIFT","Bad Blood",6295,38,295,-82,37.863,0.626,52,"10/36",3,6295,1625,37.863
4,"=","JASON DERULO","Want To Want Me",6227,5,42,-26,36.357,-0.101,114,"25",3,6272,792,36.82
5,"=","WIZ KHALIFA","See You Again f/Charlie Puth",6119,33,146,-15,36.62,0.121,79,"13",4,6119,826,37.027
6,"=","RACHEL PLATTEN","Fight Song",5693,83,375,48,33.475,0.817,126,"3",6,5693,568,33.475
7,"=","MAROON 5","This Summer's Gonna Hurt...",3935,26,170,0,20.609,0.092,53,"44",7,3935,1278,20.86
8,"+1","TOVE LO","Talking Body",3806,23,-39,7,21.673,0.178,166,"28",8,3879,460,21.904
9,"-1","ECHOSMITH","Bright",3732,-54,-335,-80,18.188,-0.263,153,"53",7,4077,505,20.629
10,"=","MAROON 5","Sugar",3664,-16,-294,43,23.186,-0.359,180,"49",1,7336,1034,47.398
11,"=","ED SHEERAN","Photograph",3511,53,254,3,21.746,0.44,57,"20",11,3511,859,21.746
12,"=","KELLY CLARKSON","Invincible",2417,23,187,-7,10.845,0.097,48,"219",12,2417,488,10.845
13,"=","FALL OUT BOY","Uma Thurman",2277,39,248,-4,11.73,0.271,79,"22",13,2277,351,11.73
14,"=","JAMES BAY","Hold Back The River",2189,15,52,-29,10.637,0.273,113,"168",14,2189,262,10.637
15,"=","SAM HUNT","Take Your Time",2027,11,44,-37,9.895,0.025,107,"24",15,2028,330,10.184
16,"=","ROB THOMAS","Trust You",1910,25,113,-5,8.135,0.143,37,"514",16,1910,465,8.135
17,"=","OMI","Cheerleader",1833,69,374,1,9.069,0.251,35,"1",17,1833,527,9.069
18,"=","ADAM LAMBERT","Ghost Town",1704,16,11,6,7.892,0.065,72,"101",18,1711,305,7.892
19,"=","THE WEEKND","Can't Feel My Face",1431,85,479,23,9.263,0.662,20,"2",19,1431,493,9.263
20,"=","NEEDTOBREATHE","Brother f/Gavin DeGraw",1338,16,73,-25,4.953,-0.016,93,"94",20,1338,173,4.969
21,"=","LITTLE BIG TOWN","Girl Crush",1282,15,119,-17,6.457,0.039,61,"17",21,1282,180,6.457
22,"=","AMERICAN AUTHORS","Go Big Or Go Home",1216,8,39,-15,4.607,0.113,32,"223",22,1217,342,4.639
23,"=","IMAGINE DRAGONS","Shots",1215,23,220,-5,5.419,0.154,28,"296",23,1215,377,5.419
24,"=","THE WEEKND","Earned It",1137,-30,-228,3,6.66,-0.226,129,"40",9,4005,574,21.627
25,"+2","ANDREW MCMAHON IN WILDERNESS","Cecilia And The Satellite",1032,45,303,31,5.723,0.375,63,"226",25,1032,303,5.723
26,"-1","SAM SMITH","Like I Can",1019,10,67,-4,4.426,0.157,46,"140",25,1019,221,4.426
27,"-1","MEGHAN TRAINOR","Dear Future Husband",953,-47,-324,53,5.835,-0.163,104,"52",13,3424,545,18.177
28,"=","SIA","Elastic Heart f/The Weeknd...",911,16,139,10,5.129,0.094,123,"42",28,911,158,5.129
29,"=","HOZIER","Someone New",819,10,22,-1,2.82,0.024,47,"307",29,833,151,3.004
30,"=","CHARLIE PUTH","Marvin Gaye f/Meghan Trainor",803,24,251,-16,3.947,0.025,22,"41",30,803,357,3.947
31,"=","FIFTH HARMONY","Worth It f/Kid Ink",736,30,102,17,3.135,0.147,32,"14",31,736,171,3.135
32,"=","ELLE KING","Ex's and Oh's",676,14,79,5,3.354,0.099,31,"72",32,676,151,3.354
33,"=","NICK FRADIANI","Beautiful Life",635,6,73,-10,2.397,-0.091,30,"494",33,635,153,2.488
34,"=","X AMBASSADORS","Renegades",609,31,227,2,3.393,0.173,21,"39",34,609,227,3.393
35,"+1","ALLEN STONE","Freedom",558,10,54,5,1.639,0.07,51,"--",33,558,165,1.639
36,"-1","KATY TIZ","Whistle (While You Work)",537,-23,-151,-5,2.265,-0.06,101,"92",26,743,81,2.852
37,"=","MUMFORD & SONS","Believe",510,-30,-322,41,2.299,-0.21,116,"262",15,2466,340,11.98
38,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",461,16,118,-14,2.356,0.013,13,"58",38,461,204,2.356
39,"=","VANCE JOY","Mess Is Mine",413,0,2,-7,1.19,0.006,44,"344",39,417,103,1.19
40,"=","DJ SNAKE & ALUNAGEORGE","You Know You Like It",389,-14,-75,-11,1.631,-0.066,38,"23",36,484,104,2.133
41,"=","DAVID GUETTA","Hey Mama  f/Nicki Minaj",363,-6,-28,-6,1.54,-0.071,38,"18",39,396,114,1.894
42,"=","MAJOR LAZER","Lean On f/MØ & DJ Snake",358,11,116,0,2.31,0.019,16,"7",42,358,131,2.31
43,"=","HILARY DUFF","Sparks",321,4,5,0,0.633,0.044,30,"602",43,339,49,0.762
44,"+2","DEMI LOVATO","Cool For The Summer",224,37,224,37,1.729,0.279,2,"16",44,224,224,1.729
45,"-1","JAKUBI","Couch Potato",197,-12,-20,-23,0.338,-0.029,23,"--",44,217,53,0.504
46,"-1","THIRD EYE BLIND","Everything Is Easy",196,7,11,7,0.358,0.045,10,"--",45,196,64,0.358
47,"+2","ZZ WARD","Love 3x",191,13,79,6,0.615,0.046,2,"--",47,191,79,0.615
48,"=","SKRILLEX & DIPLO","Where Are U Now f/J. Bieber",182,3,11,2,0.952,0.018,9,"11",47,182,37,0.952
49,"-2","PLAIN WHITE T'S","Pause",182,0,0,-2,0.258,0.013,15,"--",47,183,28,0.258
50,"=","KAYA STEWART","In Love With A Boy",179,4,31,-4,0.285,0.01,6,"966",49,179,42,0.285
