"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",14514,-53,-230,-66,95.782,-0.249,4,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",13031,-3,344,-162,82.003,0.121,4,2,13034,715,82.003
3,"=","BRITNEY SPEARS Till The World Ends",11414,-3,706,-134,73.927,-0.213,4,3,11417,966,74.14
4,"=","ADELE Rolling In The Deep",10657,276,2170,10,71.718,1.997,4,4,10657,2273,71.718
5,"=","JENNIFER LOPEZ F/PITBULL On The Floor",9651,63,480,-19,62.147,-0.173,4,5,9651,668,62.323
6,"=","KE$HA Blow",9428,-151,-1186,-25,52.361,-0.95,4,4,10135,0,56.264
7,"=","RIHANNA S&M",8959,-420,-2357,-305,57.9,-2.346,4,5,10081,0,64.524
8,"+1","BRUNO MARS Lazy Song",8590,107,738,8,50.461,0.654,4,8,8590,786,50.461
9,"-1","TINIE TEMPAH Written In The Stars",8549,55,644,-83,52.659,0.396,4,8,8549,756,52.659
10,"=","JEREMIH Down On Me f/50 Cent",7977,-21,-23,-23,43.294,-0.181,4,10,8052,153,44.2
11,"=","THE SCRIPT For The First Time",6017,106,422,77,32.96,-0.267,4,11,6017,422,33.625
12,"+1","JESSIE J Price Tag f/B.O.B",5651,22,354,-112,29.601,-0.299,4,12,5651,582,29.975
13,"-1","CEE LO GREEN F**k You (Forget You)",5593,-40,-1017,258,31.629,-0.138,4,11,5830,0,32.865
14,"+1","PITBULL Give Me Everything f/Ne-Yo",5135,168,1183,2,39.097,1.343,4,14,5135,1183,39.097
15,"-1","PINK F**kin' Perfect (Perfect)",5103,-77,-514,-38,26.042,-0.843,4,14,5394,0,27.986
16,"+1","LUPE FIASCO The Show Goes On",4351,95,711,-37,28.272,0.518,4,16,4351,786,28.272
17,"-1","LADY GAGA Judas",4071,-237,-922,-270,20.482,-2.393,4,15,4801,0,27.232
18,"=","NEW BOYZ Back Seat f/Cataracs & Dev",3719,10,219,-55,19.01,0.162,4,18,3719,331,19.01
19,"=","LADY GAGA Born This Way",3408,-101,-641,33,18.377,-0.794,4,19,3651,0,20.436
20,"+2","SELENA GOMEZ & THE SCENE Who Says",3229,89,628,57,18.194,0.317,4,20,3229,628,18.194
21,"=","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",3156,-77,-18,-141,13.407,-0.133,4,21,3233,127,13.744
22,"-2","DR. DRE I Need A Doctor f/Eminem",3147,-110,-600,-99,18.916,-0.888,4,20,3521,0,21.933
23,"=","WIZ KHALIFA Roll Up",3098,62,528,-87,15.379,0.043,4,23,3098,725,15.379
24,"=","HOT CHELLE RAE Tonight Tonight",2841,146,601,113,12.308,0.794,4,24,2841,601,12.308
25,"+1","ONEREPUBLIC Good Life",2614,55,438,15,12.858,0.474,4,25,2614,456,12.858
26,"-1","AVRIL LAVIGNE What The Hell",2538,-103,-941,109,12.282,-0.603,4,24,2903,0,13.876
27,"+1","LMFAO Party Rock Anthem",2526,101,345,60,15.491,0.961,4,27,2526,345,15.491
28,"-1","MARTIN SOLVEIG & DRAGONETTE Hello",2512,38,374,-118,17.946,0.406,4,27,2512,560,17.946
29,"+1","TAYLOR SWIFT The Story Of Us",1979,29,216,-21,10.331,0.013,4,29,1979,291,10.331
30,"-1","MY CHEMICAL ROMANCE Sing",1921,-51,-134,-55,7.651,-0.175,4,29,2009,0,7.995
31,"=","BIG TIME RUSH Boyfriend",1894,11,149,-31,7.294,0.209,4,31,1894,197,7.294
32,"=","NICKI MINAJ Moment 4 Life f/Drake",1808,-67,-1034,127,11.55,-0.561,4,29,2036,0,13.564
33,"=","CHRIS BROWN Look At Me Now",1667,-25,109,-89,11.576,-0.261,4,33,1692,229,11.837
34,"=","SHONTELLE Say Hello To Goodbye",1387,16,109,-5,3.969,0.037,4,34,1387,142,3.969
35,"+4","LADY GAGA The Edge Of Glory",1384,302,1384,302,13.206,2.73,4,35,1384,1384,13.206
36,"-1","BEYONCE Run The World (Girls)",1193,-41,-52,-113,4.741,-0.141,4,35,1285,242,5.356
37,"=","BRITNEY SPEARS Hold It Against Me",1147,-24,-64,20,8.53,-0.391,4,37,1171,0,8.927
38,"=","KANYE WEST All Of The Lights",1141,-29,13,-56,7.419,-0.061,4,37,1170,71,7.48
39,"-3","THIRTY SECONDS TO MARS Closer To The Edg...",1123,-86,-439,-91,3.914,-0.3,4,34,1390,0,4.829
40,"=","MAROON 5 Never Gonna Leave This Bed",985,24,299,0,3.768,0.065,4,40,985,312,3.768
41,"+2","NICKI MINAJ Super Bass",983,117,620,70,6.858,0.562,4,41,983,620,6.858
42,"-1","CHRISTINA PERRI Jar Of Hearts",912,-29,-190,5,4.177,-0.189,4,39,965,0,4.696
43,"-1","THE READY SET Young Forever",884,1,15,-16,2.28,0.018,4,41,884,54,2.295
44,"+4","JASON DERULO Don't Wanna Go Home",868,238,863,236,6.401,1.489,2,44,868,863,6.401
45,"-1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",763,75,478,0,3.368,0.411,4,44,763,478,3.368
46,"-1","NEON TREES Your Surrender",715,27,112,18,1.728,0.056,4,43,715,173,1.728
47,"+2","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",686,131,605,104,5.177,1.082,2,47,686,605,5.177
48,"-1","FAR EAST MOVEMENT If I Was You (OMG) f/S...",633,-5,45,-44,2.164,-0.024,4,45,640,108,2.201
49,"-3","KERI HILSON Pretty Girl Rock",619,-38,-270,32,2.83,-0.173,4,42,691,0,3.188
50,"=","THE BAND PERRY If I Die Young",545,11,125,3,1.886,0.023,4,49,545,125,1.886
