"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","DAVID GUETTA Without You f/Usher",13335,"+60",611,"-44",83.022,"+0.964",90,"9",1,13335,1586,83.022
2,"=","RIHANNA We Found Love f/Calvin Harris",12974,"+170",1096,"-30",89.658,"+0.955",61,"3",2,12974,2184,89.658
3,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",11964,"-158",-691,"-76",76.713,"-0.669",149,"8",1,13951,1685,86.013
4,"=","LMFAO Sexy And I Know It",11059,"+94",543,"+27",71.781,"+0.428",90,"1",4,11059,1530,71.781
5,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",10249,"-28",-710,"+57",70.433,"-0.365",139,"7",1,14127,1893,93.336
6,"=","ADELE Someone Like You",10147,"-99",-1130,"+112",67.67,"-0.364",110,"6",2,13563,2614,91.686
7,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",9857,"-81",-990,"+81",59.23,"-0.129",164,"14",4,11548,1097,70.438
8,"=","KATY PERRY The One That Got Away",8056,"+198",1052,"+80",50.955,"+1.993",49,"5",8,8056,1631,50.955
9,"=","BRUNO MARS It Will Rain",7956,"+104",940,"-93",45.795,"+1.311",53,"2",8,7956,1337,45.795
10,"=","FLO RIDA Good Feeling",7348,"+168",1003,"+5",47.318,"+0.882",61,"4",10,7348,1207,47.318
11,"=","JASON DERULO It Girl",6390,"-37",-257,"-37",29.147,"+0.068",99,"26",10,6647,1048,29.647
12,"=","DEV In The Dark",6381,"+2",-927,"+233",45.896,"+0.316",119,"54",8,8037,1224,51.486
13,"+1","KELLY CLARKSON Mr. Know It All",6156,"+66",435,"+34",32.926,"+0.300",82,"20",13,6156,1093,32.926
14,"-1","FOSTER THE PEOPLE Pumped Up Kicks",6061,"-92",-875,"+31",35.712,"-0.666",134,"12",3,12112,1356,70.246
15,"=","LMFAO Party Rock Anthem",4995,"-5",-135,"+14",32.729,"-0.055",198,"10",1,14043,1859,94.193
16,"=","NICKI MINAJ Fly f/Rihanna",4971,"+55",176,"+52",27.303,"+0.326",68,"29",16,4971,987,27.303
17,"=","T-PAIN 5 O'clock f/Wiz Khalifa",4867,"+120",1176,"-60",27.858,"+0.976",48,"13",17,4867,1264,27.858
18,"=","SELENA GOMEZ & THE SCENE Love You Like A...",4309,"+104",464,"+12",21.133,"+0.607",94,"45",17,4309,636,21.133
19,"+1","LADY GAGA Marry The Night",3224,"+177",1324,"-45",18.535,"+0.971",16,"84",19,3224,1570,18.535
20,"-1","BAD MEETS EVIL Lighters f/Bruno Mars",3221,"+3",-425,"+137",21.299,"+0.393",152,"134",2,11835,1599,78.403
21,"=","GAVIN DEGRAW Not Over You",3106,"+59",312,"+8",15.011,"+0.330",92,"30",20,3106,532,15.011
22,"=","DRAKE Headlines",3087,"+54",650,"-42",22.475,"+0.293",40,"22",21,3087,754,22.475
23,"=","LADY GAGA You And I",2834,"-11",-432,"+77",14.672,"+0.028",108,"31",7,7824,1553,44.474
24,"=","JESSIE J Domino",2817,"+59",280,"+1",15.719,"+0.533",70,"49",23,2817,381,15.719
25,"=","LADY ANTEBELLUM Just A Kiss",2633,"+38",197,"+37",11.88,"+0.301",65,"39",24,2633,525,11.88
26,"=","RIHANNA You Da One",2501,"+120",-893,"-163",17.191,"+0.562",14,"--",20,3394,3394,36.963
27,"=","BREATHE CAROLINA Blackout",2221,"+43",291,"+4",11.984,"+0.504",92,"88",27,2221,343,11.984
28,"=","HOT CHELLE RAE I Like It Like That f/New...",2189,"+57",290,"+21",9.747,"+0.361",56,"44",26,2189,407,9.747
29,"=","ALEXANDRA STAN Mr. Saxobeat",2133,"+46",-191,"+130",22.138,"-0.272",124,"81",18,4585,673,38.816
30,"=","J. COLE Workout",2114,"+63",518,"-25",19.326,"+0.467",32,"27",30,2114,614,19.326
31,"=","FRAY Heartbeat",2048,"+76",312,"+19",10.06,"+0.436",29,"158",30,2048,677,10.06
32,"=","OUTASIGHT Tonight Is The Night",1762,"+60",320,"+16",8.864,"+0.460",24,"141",32,1762,500,8.864
33,"+1","JAY Z & KANYE WEST N***** In Paris",1574,"+53",232,"+34",8.784,"+0.353",19,"21",33,1574,581,8.784
34,"-1","BRITNEY SPEARS Criminal",1443,"-105",-1261,"+144",5.854,"-0.353",65,"109",19,3422,669,17.372
35,"=","NICKELBACK When We Stand Together",1383,"-41",-188,"-42",4.583,"-0.073",54,"404",30,1615,457,5.4
36,"=","AVRIL LAVIGNE Wish You Were Here",1379,"+35",163,"+6",4.949,"+0.117",19,"132",36,1379,503,4.949
37,"=","PITBULL F/CHRIS BROWN International Love",1363,"+30",201,"+12",9.277,"+0.109",22,"95",36,1363,418,9.277
38,"=","BEYONCE Countdown",1012,"-47",-147,"-67",2.876,"-0.077",41,"93",36,1162,255,3.747
39,"=","ANDY GRAMMER Keep Your Head Up",995,"+20",-240,"+75",5.436,"+0.059",152,"167",21,3215,355,13.959
40,"=","TAIO CRUZ Hangover f/Flo Rida",949,"+17",175,"+7",3.309,"+0.045",28,"371",40,949,194,3.309
41,"=","WE THE KINGS Say You Like Me",870,"+40",114,"+47",1.967,"+0.121",67,"--",41,870,320,1.967
42,"=","TIMBALAND Pass At Me f/Pitbull",770,"+19",212,"+4",3.985,"+0.130",12,"403",42,770,319,3.985
43,"+1","COLBIE CAILLAT Brighter Than The Sun",722,"+13",104,"-1",2.088,"+0.025",19,"103",43,722,119,2.088
44,"-1","KARMIN Crash Your Party",719,"+9",131,"-17",3.947,"-0.021",12,"--",43,719,234,3.968
45,"=","JOJO Disaster",707,"+23",183,"+5",1.349,"-0.025",12,"879",45,707,183,1.407
46,"=","NICOLE SCHERZINGER Don't Hold Your Breat...",635,"-26",-558,"+67",2.247,"-0.090",60,"423",29,1562,446,5.007
47,"+1","THE CAB Bad",634,"+1",-21,"-3",1.301,"+0.046",38,"756",45,655,106,1.344
48,"-1","JENNIFER LOPEZ Papi",580,"-80",-646,"+9",1.769,"-0.203",48,"99",32,1477,488,6.062
49,"=","DAUGHTRY Crawling Back To You",560,"-6",0,"-3",1.635,"-0.006",28,"--",46,573,134,1.681
50,"--","GYM CLASS HEROES Ass Back Home",512,"--",224,"--",3.954,"--",1,"619",50,512,224,3.954
