"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","TAYLOR SWIFT","I Knew You Were T...",15624,"-36",-305,"+13",124.561,"+0.088",95,"10",1,16073,2452,126.481
2,"=","SWEDISH HOUSE MAF...","Don't You Worry C...",14700,"+9",406,"-105",116.199,"-0.234",166,"23",2,14704,1905,116.982
3,"=","WILL.I.AM & BRITN...","Scream And Shout",13006,"+55",428,"+33",98.241,"-0.236",89,"7",3,13006,2182,99.406
4,"=","MACKLEMORE & RYAN...","Thrift Shop f/Wan...",12564,"+99",1174,"-117",94.759,"+0.534",96,"2",4,12564,2020,94.759
5,"=","MAROON 5","Daylight",10698,"+120",820,"-51",79.296,"+0.692",91,"15",5,10698,1308,79.296
6,"=","BRUNO MARS","Locked Out Of Hea...",10172,"-118",-576,"-23",81.797,"-0.408",144,"13",1,15928,2790,124.488
7,"=","CALVIN HARRIS","Sweet Nothing f/F...",9508,"+116",881,"-49",76.281,"+0.029",99,"26",7,9508,1126,76.281
8,"=","LUMINEERS","Ho Hey",9182,"+40",-300,"+203",70.001,"-0.336",159,"12",2,13545,1921,101.636
9,"=","JUSTIN BIEBER","Beauty And A Beat...",8056,"-189",-1764,"+149",63.674,"-1.811",127,"43",2,12731,1998,87.772
10,"=","KE$HA","C'mon",8043,"+17",259,"-14",52.658,"-0.549",68,"34",10,8043,1547,54.334
11,"+1","JUSTIN TIMBERLAKE","Suit & Tie f/JAY ...",7033,"+38",191,"+81",47.273,"-0.109",39,"9",11,7033,6457,59.334
12,"-1","PINK","Try",7029,"-298",-1924,"-125",48.642,"-0.341",117,"33",6,9909,1515,66.33
13,"+1","BRUNO MARS","When I Was Your M...",6987,"+224",1535,"-13",54.326,"+2.437",38,"3",13,6987,1738,54.326
14,"-1","IMAGINE DRAGONS","It's Time",6889,"-7",734,"-176",45.097,"+0.321",152,"29",13,6896,983,45.097
15,"=","KELLY CLARKSON","Catch My Breath",6469,"+32",274,"+39",41.543,"+0.342",119,"32",14,6469,767,41.543
16,"=","THE SCRIPT","Hall Of Fame f/wi...",5632,"+8",75,"-52",31.457,"+0.048",159,"30",16,5672,564,31.748
17,"=","ALICIA KEYS","Girl On Fire",5211,"-188",-1465,"+23",33.175,"-1.326",122,"22/56",9,7658,1171,50.899
18,"+1","PITBULL","Feel This Moment",4688,"+191",1474,"-31",35.339,"+1.203",47,"19",18,4688,1505,35.339
19,"-1","OLLY MURS","Troublemaker f/Fl...",4610,"+38",525,"-43",31.661,"+0.384",67,"21",18,4610,766,31.661
20,"=","RIHANNA","Stay f/Mikky Ekko",4279,"+236",1433,"+39",32.593,"+1.778",26,"4",20,4279,1490,32.593
21,"=","ONE DIRECTION","Kiss You",3899,"+39",491,"-68",19.666,"+0.382",31,"61",20,3899,1186,19.666
22,"=","OF MONSTERS AND M...","Little Talks",3714,"+25",334,"-60",24.432,"+0.075",96,"24",20,3714,655,24.473
23,"=","MUMFORD & SONS","I Will Wait",3603,"+38",658,"-71",25.076,"-0.040",48,"16",23,3603,747,25.116
24,"=","HUNTER HAYES","Wanted",2970,"-8",20,"+8",18.498,"+0.029",131,"28",23,3020,368,18.605
25,"=","CHRIS WALLACE","Remember When (Pu...",2847,"+46",104,"+56",13.304,"+0.135",194,"121",25,2847,332,13.81
26,"=","NELLY","Hey Porsche",2407,"+21",242,"-7",13.561,"-0.209",35,"8",26,2407,673,13.955
27,"=","KREWELLA","Alive",1987,"+108",775,"+23",19.062,"+1.346",15,"111",27,1987,775,19.062
28,"=","FUN.","Carry On",1920,"+79",495,"+20",10.126,"+0.775",45,"18",27,1920,495,10.126
29,"=","BRITT NICOLE","Gold",1575,"+28",107,"+39",5.508,"+0.130",68,"138",29,1575,314,5.508
30,"+2","FALL OUT BOY","My Songs Know Wha...",1427,"+160",715,"+99",10.697,"+0.227",12,"31",30,1427,715,10.697
31,"-1","JONN HART","Who Booty f/Frenc...",1272,"-86",-263,"-76",5.795,"-0.296",81,"114",29,1580,252,6.617
32,"+1","MUSE","Madness",1241,"+72",128,"+57",4.114,"+0.197",69,"42",32,1241,215,4.114
33,"-2","PITBULL","Don't Stop The Pa...",1234,"-41",-1375,"+376",7.034,"-0.422",138,"55",12,6363,675,41.893
34,"+1","AFROJACK & CHRIS ...","As Your Friend",1205,"+76",311,"+29",9.636,"+0.307",22,"35",34,1205,362,9.636
35,"-1","ICONA POP","I Love It f/Charl...",1201,"+61",480,"+19",11.877,"+0.198",14,"77",34,1201,480,11.877
36,"=","CHER LLOYD","With Ur Love f/Ju...",1080,"+43",317,"-4",5.177,"+0.209",12,"275",36,1080,571,5.177
37,"=","TREY SONGZ","Simply Amazing",1029,"-2",177,"-23",6.918,"+0.011",26,"173",35,1031,243,6.918
38,"=","SKYLAR GREY","C'mon Let Me Ride...",920,"-102",-318,"-94",2.49,"-0.470",40,"184",32,1286,381,5.139
39,"=","NE-YO","Forever Now",890,"+21",151,"-14",8.954,"+0.168",28,"304",39,890,269,9.685
40,"=","ONEREPUBLIC","If I Lose Myself",790,"+25",181,"-4",2.367,"+0.125",17,"336",40,790,318,2.367
41,"=","EMELI SANDE","Next To Me",706,"+53",444,"-9",5.886,"+0.837",6,"101",41,706,453,5.886
42,"=","A$AP ROCKY","F**kin Problems f...",649,"+33",127,"+41",2.911,"+0.141",19,"25",41,649,154,2.911
43,"=","BENNY BENASSI","Cinema f/Gary Go",481,"+13",63,"+9",4.377,"+0.054",12,"261",43,481,155,4.377
44,"+3","JUSTIN BIEBER","All Around The Wo...",432,"+56",238,"+28",3.745,"+0.316",5,"360",44,432,238,3.745
45,"-1","MARINA AND THE DI...","How To Be A Heart...",403,"+0",-18,"-3",0.895,"-0.011",23,"--",44,421,96,0.906
46,"=","STEFANO","Yes To Love",397,"+11",69,"-1",0.717,"-0.020",5,"--",46,397,70,0.737
47,"-2","AUSTIN MAHONE","Say You're Just A...",377,"-19",-129,"-1",1.073,"-0.061",35,"178",42,539,148,1.879
48,"+2","PINK","Just Give Me A Re...",370,"+50",252,"+24",3.943,"+0.343",2,"58",48,370,252,3.943
49,"-1","KENDRICK LAMAR","Swimming Pools (D...",341,"-23",-200,"+7",1.592,"-0.047",35,"68",42,588,166,2.33
50,"--","BAAUER","Harlem Shake",331,"--",304,"--",2.926,"--",1,"1",50,331,304,2.926
