"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","KATY PERRY","Dark Horse",17394,"-97",-122,"-158",122.878,"-0.074",101,"2",1,17515,2780,123.167
2,"=","LORDE","Team",15274,"+582",1242,"+6",99.299,"+4.891",100,"9",2,15274,1641,99.299
3,"+1","BASTILLE","Pompeii",12820,"+800",1739,"+569",86.884,"+3.949",115,"5",3,12820,1739,86.884
4,"-1","ONE DIRECTION","Story Of My Life",12341,"-344",-545,"-351",73.151,"-3.614",124,"22",3,12896,1527,82.164
5,"+2","PHARRELL WILLIAMS","Happy",11980,"+763",2040,"-111",88.576,"+4.037",44,"1",5,11980,2386,88.576
6,"+2","JASON DERULO","Talk Dirty f/2 Chainz",11622,"+460",1210,"+45",73.661,"+2.935",64,"4",6,11622,2775,73.661
7,"-1","ONEREPUBLIC","Counting Stars",10834,"-471",-1216,"+464",82.957,"-1.805",142,"13",1,16524,2609,113.696
8,"-3","ELLIE GOULDING","Burn",10611,"-1199",-2786,"-640",73.224,"-6.778",148,"33",2,14810,1623,95.425
9,"=","A GREAT BIG WORLD","Say Something w/C. Aguilera",9817,"-506",-757,"-631",56.466,"-4.874",101,"10",7,10605,1506,64.936
10,"=","PITBULL","Timber f/Ke$ha",8996,"-583",-1767,"+272",65.424,"-4.015",140,"8",1,16901,2001,117.778
11,"=","BRUNO MARS","Young Girls",8293,"+221",507,"+48",46.994,"+1.298",80,"48",11,8293,938,46.994
12,"=","EMINEM","The Monster f/Rihanna",7061,"-218",-760,"+158",54.502,"-2.552",125,"43",1,16414,2904,117.022
13,"=","ALOE BLACC","The Man",7026,"+311",655,"+165",38.636,"+0.741",40,"6",13,7026,1722,38.636
14,"+1","DEMI LOVATO","Neon Lights",6294,"+274",623,"+15",34.409,"+1.651",95,"44",14,6294,675,34.409
