"Title","Artist","Spins"
"Earned It","THE WEEKND",16944
"Love Me Like You Do","ELLIE GOULDING",16155
"See You Again f/Charlie Puth","WIZ KHALIFA",14278
"Want To Want Me","JASON DERULO",13977
"Shut Up And Dance","WALK THE MOON",13600
"Somebody f/Jeremih","NATALIE LA ROSE",13446
"One Last Time","ARIANA GRANDE",11854
"Chains","NICK JONAS",11704
"Sugar","MAROON 5",11198
"GDFR f/Sage The Gemini","FLO RIDA",10994
"Style","TAYLOR SWIFT",9042
"Talking Body","TOVE LO",8495
"Hey Mama  f/Nicki Minaj","DAVID GUETTA",7595
"You Know You Like It","DJ SNAKE & ALUNAGEORGE",7426
"Dear Future Husband","MEGHAN TRAINOR",5780
"Worth It f/Kid Ink","FIFTH HARMONY",5412
"Bright","ECHOSMITH",4799
"I Want You To Know f/S. Gomez","ZEDD",4008
"Trap Queen","FETTY WAP",3699
"Honey, I'm Good","ANDY GRAMMER",3501
"Pretty Girls","BRITNEY SPEARS & IGGY AZALEA",3260
"Budapest","GEORGE EZRA",3231
"Where Are U Now f/J. Bieber","SKRILLEX & DIPLO",3225
"I Need Your Love","SHAGGY F/MOHOMBI/FAYDEE/COSTI",3011
"OctaHate","RYN WEAVER",2783
"Geronimo","SHEPPARD",2632
"The Night Is Still Young","NICKI MINAJ",2454
"Elastic Heart f/The Weeknd...","SIA",2176
"Lay Me Down","SAM SMITH",2130
"I Really Like You","CARLY RAE JEPSEN",1993
"Nothing Without Love","NATE RUESS",1912
"Don't Look Down f/Usher","MARTIN GARRIX",1908
"Pray To God f/HAIM","CALVIN HARRIS",1820
"American Oxygen","RIHANNA",1751
"Fun f/Chris Brown","PITBULL",1623
"Outside f/Ellie Goulding","CALVIN HARRIS",1597
"FourFiveSeconds","RIHANNA/KANYE WEST/P MCCARTNEY",1593
"Cheerleader","OMI",1402
"Get Low","DILLON FRANCIS & DJ SNAKE",1342
"Let's Not Be Alone Tonight","R5",1318
"Nobody Love","TORI KELLY",1182
"Ghost Town","ADAM LAMBERT",1045
"Uma Thurman","FALL OUT BOY",1031
"Cool","ALESSO",1017
"Coming With You","NE-YO",976
"King","YEARS & YEARS",939
"Whistle (While You Work)","KATY TIZ",886
"Take Your Time","SAM HUNT",818
"Tonight Belongs To U!","JEREMIH F/FLO RIDA",807
"Lean On f/MØ & DJ Snake","MAJOR LAZER",801
