"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","LUKAS GRAHAM","7 Years",17928,154,571,177,109.87,1.316,119,"7",1,17928,2077,109.87
2,"=","MIKE POSNER","I Took A Pill In Ibiza",17562,-183,-252,-329,110.913,-0.834,121,"15",1,17919,1578,111.747
3,"=","ZAYN","Pillowtalk",16305,-173,-1154,-96,104.297,-1.485,107,"49",1,17839,2441,109.897
4,"=","FIFTH HARMONY","Work From Home",15112,161,1117,11,84.749,0.907,79,"9",4,15112,4059,84.749
5,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",12486,350,1828,214,76.495,1.712,63,"4",5,12486,1906,76.495
6,"=","ZARA LARSSON & MNEK","Never Forget You",11727,175,600,168,69.719,1.121,102,"22",5,11727,1534,69.719
7,"=","ARIANA GRANDE","Dangerous Woman",10150,35,439,40,59.135,0.442,65,"19",7,10150,4214,59.135
8,"=","G-EAZY","Me Myself And I f/Bebe Rexha",9880,-28,-859,131,61.238,0.059,129,"68",1,16250,1836,97.757
9,"=","DRAKE","One Dance f/Wizkid & Kyla",9874,214,1689,-88,61.883,0.965,35,"2",9,9874,2494,61.883
10,"=","JUSTIN BIEBER","Love Yourself",9255,-178,-1181,-70,64.573,-1.394,163,"43",1,19000,4103,124.28
11,"=","JUSTIN TIMBERLAKE","Can't Stop The Feeling",9150,508,5665,-490,60.485,2.38,9,"1",10,9472,9290,68.146
12,"=","DNCE","Cake By The Ocean",8322,-271,-1819,-65,52.694,-0.767,228,"25",2,15763,1185,92.576
13,"=","NICK JONAS","Close f/Tove Lo",7742,84,529,50,35.831,0.535,51,"24",13,7742,3392,35.831
14,"+1","ALESSIA CARA","Wild Things",6257,33,222,44,30.282,0.14,105,"72",14,6257,814,30.696
15,"+1","CALVIN HARRIS","This Is What You... f/Rihanna",6179,278,2475,-260,39.445,1.472,16,"10",15,6179,3960,39.445
16,"-2","DJ SNAKE","Middle f/Bipolar Sunshine",6124,-462,-2260,-344,36.807,-2.589,119,"48",12,8717,1239,48.187
17,"=","JAMES BAY","Let It Go",5994,103,420,51,34.957,0.498,84,"20",16,5994,885,34.957
18,"=","JASON DERULO","If It Ain't Love",5718,-65,-96,-73,26.793,-0.416,44,"87",16,5860,2192,28.46
19,"=","SELENA GOMEZ","Hands To Myself",4587,-24,-714,154,30.778,-0.502,133,"98",1,16291,1952,91.457
20,"+1","PINK","Just Like Fire",4479,64,479,10,21.328,0.484,30,"11",20,4479,2189,21.328
21,"+1","RUTH B.","Lost Boy",4410,10,237,-80,19.051,-0.067,90,"12",20,4410,534,19.118
22,"-2","MEGHAN TRAINOR","NO",4181,-396,-3791,300,21.005,-1.715,72,"8/97",7,12552,5498,69.649
23,"+1","GRACE","You Don't Own Me f/G-Eazy",3367,-11,112,-61,14.694,0.148,58,"39",23,3378,664,14.694
24,"-1","RIHANNA","Kiss It Better",3357,-89,-123,-95,14.221,-0.533,39,"78",22,3528,1133,15.648
25,"=","TWENTY ONE PILOTS","Ride",3163,84,486,32,12.811,0.598,35,"34",25,3163,764,12.811
26,"=","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",2860,29,172,-37,13.056,0.421,37,"33",26,2860,1675,13.913
27,"=","FLUME","Never Be Like You f/Kai",2754,67,183,62,13.858,0.136,61,"66",27,2754,487,14.455
28,"+1","DESIIGNER","Panda",2705,69,549,-76,13.349,0.464,25,"5/52",28,2705,808,13.349
29,"+2","SELENA GOMEZ","Kill Em With Kindness",2594,199,1364,24,10.79,1.078,13,"500",29,2594,1364,10.79
30,"=","SIA","Cheap Thrills",2468,34,282,0,12.846,-0.003,68,"69/85",30,2468,352,12.849
31,"-3","IGGY AZALEA","Team",2410,-230,-1016,-185,7.272,-1.17,56,"108",21,3649,1132,12.711
32,"=","RIHANNA","Work f/Drake",2079,-48,-335,34,12.562,-0.152,109,"44",8,11661,3999,67.246
33,"=","MAJOR LAZER","Light It Up f/Nyla",1954,19,194,-83,7.203,-0.034,74,"131",32,1954,288,7.237
34,"=","ELLIE GOULDING","Army",1660,-16,28,-54,5.085,-0.066,21,"1328",33,1691,733,5.362
35,"=","DAYA","Sit Still, Look Pretty",1572,19,113,1,4.766,0.078,49,"75",35,1572,250,4.766
36,"=","JEREMIH","Oui",1511,-20,55,-36,5.29,-0.123,56,"62",34,1540,263,5.571
37,"=","BEBE REXHA","No Broken Hearts f/Nicki Minaj",1326,88,78,114,3.731,0.252,30,"228",37,1326,319,4.009
38,"+1","MELANIE MARTINEZ","Pity Party",1117,8,-7,0,3.374,0.065,47,"207",38,1135,316,3.662
39,"+1","BELLY","Might Not f/The Weeknd",1085,1,44,-34,5.067,0.033,34,"117",39,1100,246,5.067
40,"-2","TROYE SIVAN","Youth",1060,-58,-507,108,5.418,-0.44,133,"126",17,5443,660,22.213
