"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PITBULL Give Me Everything f/Ne-Yo",6277,"+44",175,"-34",37.718,"+0.261",37,1,6277,925,37.718
2,"=","WIZ KHALIFA Roll Up",4639,"-129",-505,"-97",25.229,"-1.152",37,2,5325,315,32.656
3,"+1","NICKI MINAJ Super Bass",4349,"+108",649,"+29",23.037,"+0.846",37,3,4349,720,23.037
4,"-1","LUPE FIASCO The Show Goes On",4332,"-100",-687,"-22",24.9,"-0.607",37,1,5598,489,32.494
5,"+1","KELLY ROWLAND Motivation f/Lil Wayne",4208,"+65",416,"+2",23.484,"+0.121",37,5,4208,628,23.484
6,"-1","BIG SEAN My Last f/Chris Brown",4189,"+41",280,"+7",25.739,"+0.169",37,5,4189,381,25.739
7,"=","KATY PERRY E.T.",4050,"-84",-528,"-13",24.831,"-0.422",37,2,5377,248,30.339
8,"=","BLACK EYED PEAS Just Can't Get Enough",4005,"-70",-151,"-43",22.226,"-0.325",37,5,4213,554,22.792
9,"=","CHRIS BROWN Look At Me Now",3971,"-55",-480,"+37",29.232,"-0.015",37,1,6273,56,40.795
10,"=","CHRIS BROWN She Ain't You",3916,"+30",321,"+4",21.364,"+0.175",37,9,3916,422,21.364
11,"=","MIGUEL Sure Thing",3207,"+13",275,"-37",17.019,"-0.166",37,11,3207,446,17.185
12,"+1","DJ KHALED I'm On One f/Drake, Rick Ross",2987,"+71",741,"-40",18.905,"+0.419",29,12,2987,821,18.905
13,"+1","LMFAO Party Rock Anthem",2968,"+149",689,"+100",19.273,"+1.052",37,13,2968,689,19.273
14,"-2","JEREMIH Down On Me f/50 Cent",2875,"-62",-406,"+0",20.783,"-0.400",37,4,5155,0,34.731
15,"=","LIL WAYNE How To Love",2654,"+132",982,"+22",15.745,"+0.831",17,15,2654,984,15.745
16,"=","KANYE WEST All Of The Lights",2371,"-30",-111,"-9",19.687,"+0.048",37,6,4194,0,27.01
17,"+2","ADELE Rolling In The Deep",2084,"+60",348,"+8",12.36,"+0.534",35,17,2084,450,12.36
18,"-1","YC Racks f/Future",2065,"-79",-593,"-9",11.4,"-0.408",37,10,3036,347,15.983
19,"-1","RIHANNA Man Down",2042,"+6",115,"-35",13.76,"-0.161",37,18,2042,380,13.921
20,"=","BRUNO MARS Lazy Song",1941,"-34",-89,"-35",10.764,"-0.163",37,16,2039,204,11.32
21,"=","JASON DERULO Don't Wanna Go Home",1835,"+19",108,"-2",8.488,"+0.114",34,21,1835,471,8.488
22,"=","LUPE FIASCO Out Of My Head f/Trey Songz",1795,"+34",195,"+12",12.466,"-0.082",37,22,1795,316,12.749
23,"=","BRITNEY SPEARS Till The World Ends",1727,"-7",-61,"+11",9.809,"-0.118",37,17,2345,361,13.18
24,"=","RIHANNA S&M",1687,"-46",-219,"-19",8.056,"-0.305",37,7,3766,0,20.609
25,"=","JENNIFER LOPEZ F/PITBULL On The Floor",1667,"-61",-211,"-17",11.079,"-0.374",37,16,2302,134,13.81
26,"=","NEW BOYZ Back Seat f/Cataracs & Dev",1374,"-17",-343,"+63",7.523,"-0.088",37,8,3646,0,17.134
27,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1252,"+1",126,"-23",4.821,"-0.060",32,27,1252,367,4.881
28,"=","TREY SONGZ Unusual f/Drake",1131,"+35",88,"+26",8.456,"+0.508",33,28,1131,280,8.979
29,"+1","FRANK OCEAN Novacane",1118,"+64",284,"+69",6.546,"+0.300",23,29,1118,284,6.546
30,"-1","T-PAIN Best Love Song f/Chris Brown",1061,"+6",-11,"-9",6.09,"-0.054",37,27,1080,105,6.157
31,"=","LLOYD Cupid",1014,"-1",89,"-21",3.924,"-0.053",37,30,1015,212,3.977
32,"+2","BEYONCE Best Thing I Never Had",842,"+67",438,"+34",3.869,"+0.317",9,32,842,438,3.869
33,"=","ACE HOOD Hustle Hard",812,"+5",21,"-1",5.971,"+0.143",37,26,1088,210,6.734
34,"-2","JENNIFER LOPEZ I'm Into You f/Lil Wayne",801,"-14",-51,"-17",2.652,"-0.071",37,32,858,160,3.179
35,"=","LADY GAGA The Edge Of Glory",771,"+1",75,"-17",3.577,"+0.005",23,35,776,189,3.628
36,"+3","DEV In The Dark",724,"+21",93,"+30",3.22,"+0.166",20,36,724,182,3.22
37,"-1","TINIE TEMPAH Written In The Stars",724,"-41",-199,"-16",5.216,"-0.383",37,15,2441,115,10.477
38,"-1","NEW BOYZ Better With the Lights Off",718,"+5",104,"-9",2.762,"+0.067",19,37,718,162,2.762
39,"-1","KERI HILSON Lose Control (Let Me Down)",715,"+4",44,"-4",2.188,"-0.023",29,36,733,172,2.456
40,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",680,"+12",24,"+8",2.967,"+0.077",26,39,680,223,2.967
41,"+1","NICOLE SCHERZINGER Right There",653,"+4",48,"-8",2.217,"-0.016",18,41,653,326,2.276
42,"-1","KE$HA Blow",626,"-27",-170,"-28",5.184,"-0.186",37,27,1069,76,7.374
43,"+1","BIG K.R.I.T. Country Sh**",551,"+23",127,"+11",3.048,"+0.080",11,43,551,131,3.048
44,"+2","KATY PERRY Last Friday Night (T.G.I.F.)",542,"+30",296,"-10",3.189,"+0.244",5,44,542,306,3.189
45,"-2","JAMIE FOXX Best Night Of My Life",537,"-32",-110,"-28",2.567,"-0.150",37,37,661,139,3.085
46,"-1","NICKI MINAJ Did It On'em",535,"+8",-215,"+72",3.477,"+0.032",37,18,2119,0,12.584
47,"=","MARSHA AMBROSIUS Far Away",463,"+8",-7,"+8",2.644,"+0.011",16,46,471,89,2.743
48,"=","AFROJACK Take Over Control f/Eva Simons",453,"+17",77,"+9",5.381,"+0.106",23,46,453,124,5.381
49,"--","TYGA Far Away f/Chris Richardson",343,"--",72,"--",2.026,"--",1,49,343,72,2.026
50,"-1","RICK ROSS 9 Piece f/Lil Wayne",336,"-3",7,"-4",4.077,"-0.059",5,49,345,30,4.136
