"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","JAY Z & KANYE WEST N***** In Paris",5789,42,-23,124,38.17,0.576,126,"9",1,6195,668,41.081
2,"=","J. COLE Workout",5694,-27,-200,64,37.119,0.098,168,"21",1,6176,777,39.536
3,"=","RIHANNA We Found Love f/Calvin Harris",5318,-18,-191,48,32.58,0.052,103,"5",1,5953,839,35.674
4,"=","BIG SEAN Dance (A$$)",5199,104,174,145,32.234,0.802,92,"22",4,5199,615,32.234
5,"+1","FLO RIDA Good Feeling",4390,77,130,108,25.2,0.654,103,"4",5,4390,533,25.2
6,"-1","LMFAO Sexy And I Know It",4253,-67,-145,-48,24.292,-0.305,114,"3",4,4921,738,27.923
7,"=","DRAKE Make Me Proud f/Nicki Minaj",3986,56,-80,130,24.604,0.465,77,"46",7,4140,605,25.852
8,"+2","BRUNO MARS It Will Rain",3476,29,-13,124,19.156,0.112,89,"6",8,3594,486,20.415
9,"-1","DRAKE Headlines",3413,-83,-261,-35,24.081,-0.551,155,"32",1,5872,689,40.36
10,"-1","T-PAIN 5 O'clock f/Wiz Khalifa",3405,-75,-403,19,17.954,-0.513,108,"25",6,4656,700,28.003
11,"=","WALE Lotus Flower Bomb f/Miguel",3350,79,109,115,19.405,0.7,63,"95",11,3350,573,19.405
12,"=","DAVID GUETTA Without You f/Usher",3168,-65,-497,31,17.546,-0.175,126,"28",7,4252,544,22.96
13,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",2962,80,117,117,17.273,0.651,63,"7",13,2962,585,17.273
14,"=","RIHANNA You Da One",2659,44,4,122,12.664,0.19,56,"24",14,2733,886,13.452
15,"=","LIL WAYNE She Will f/Drake",2333,28,-150,76,20.167,0.308,144,"98",2,5364,679,33.166
16,"=","DRAKE The Motto f/Lil Wayne",2252,54,283,-2,16.962,0.382,58,"16",16,2252,336,16.962
