"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","T.I.","No Mediocre f/Iggy Azalea",6336,-15,208,-44,36.846,0.01,116,"84",1,6351,646,36.846
2,"=","IGGY AZALEA","Black Widow f/Rita Ora",6254,-12,113,-37,33.028,0.179,109,"24",2,6266,713,33.028
3,"=","JEREMIH","Don't Tell 'Em f/YG",6135,-58,-311,-26,41.092,-0.085,132,"20",1,7323,812,45.688
4,"=","CHRIS BROWN","New Flame f/Usher & Rick Ross",5408,39,317,13,27.093,0.186,96,"69",4,5408,740,27.093
5,"=","DRAKE","0 To 100/The Catch Up",4206,67,207,45,25.092,0.711,81,"47",5,4206,604,25.092
6,"=","TREY SONGZ","Touchin, Lovin f/Nicki Minaj",3916,70,367,50,23.81,0.649,56,"105",6,3916,751,23.81
7,"=","NICKI MINAJ","Anaconda",3739,-87,-536,-56,18.141,-0.556,69,"26",5,4386,1046,22.108
8,"+1","KENDRICK LAMAR","i",3181,124,908,0,19.374,0.712,20,"81",8,3181,1592,19.374
9,"-1","SCHOOLBOY Q","Studio f/BJ The Chicago Kid",3073,-55,-554,61,20.589,-0.364,144,"148",2,5416,699,31.807
10,"=","TEEFLII","24 Hours",2995,-54,-401,-5,18.805,-0.175,150,"331",7,3450,319,21.002
11,"=","MEGHAN TRAINOR","All About That Bass",2655,-1,78,16,14.574,0.042,59,"4",11,2656,518,14.574
12,"=","WIZ KHALIFA F/SNOOP & TY DOLLA","You And Your Friends",2618,29,258,-4,11.806,0.157,45,"156",12,2618,468,11.806
13,"=","RICH GANG","Lifestyle f/Young Thug",2176,22,101,9,15.053,0.127,74,"49",13,2176,360,15.053
14,"=","BEYONCE","Flawless",2162,23,93,8,11.754,0.153,67,"182",14,2162,436,12.147
15,"=","SAM SMITH","Stay With Me",1790,-27,-199,-5,10.345,-0.108,122,"15",5,4179,476,21.763
16,"=","JASMINE V","That's Me Right There",1753,1,71,-24,7.619,-0.075,58,"349",16,1753,260,7.945
17,"=","JASON DERULO","Trumpets",1737,13,94,-16,6.435,0.132,51,"10",17,1737,420,6.435
18,"+2","DJ KHALED","Hold You Down f/C. Brown...",1594,61,281,27,12.583,0.77,37,"98",18,1594,312,12.583
19,"-1","NICO & VINZ","Am I Wrong",1559,-7,-195,20,11.088,-0.01,155,"83",2,5594,784,32.542
20,"+2","KID INK","Body Language f/Usher/Tinashe",1474,38,296,-42,8.061,0.064,23,"154",20,1474,506,8.061
21,"+2","TAYLOR SWIFT","Shake It Off",1451,32,161,5,8.744,0.054,39,"2",21,1451,266,8.744
