"Title","Artist","Spins"
"One Dance f/Wizkid & Kyla","DRAKE",6953
"Panda","DESIIGNER",5951
"Work From Home","FIFTH HARMONY",4944
"2 Phones","KEVIN GATES",4540
"I Took A Pill In Ibiza","MIKE POSNER",3780
"Don't Let Me Down f/Daya","THE CHAINSMOKERS",3431
"Might Not f/The Weeknd","BELLY",3209
"Work f/Drake","RIHANNA",3077
"Exchange","BRYSON TILLER",3021
"Pillowtalk","ZAYN",2986
"All The Way Up","FAT JOE & REMY MA",2925
"Oui","JEREMIH",2831
"Low Life f/The Weeknd","FUTURE",2635
"Needed Me","RIHANNA",2631
"Dangerous Woman","ARIANA GRANDE",2565
"Don't Mind","KENT JONES",2471
"Sorry","BEYONCE",2280
"Can't Stop The Feeling","JUSTIN TIMBERLAKE",2261
"Moolah","YOUNG GREATNESS",2255
"Body f/Jeremih","DREEZY",2006
"If It Ain't Love","JASON DERULO",1629
"Drifting f/Chris Brown","G-EAZY",1532
"Saved f/E-40","TY DOLLA $IGN",1502
"This Is What You... f/Rihanna","CALVIN HARRIS",1446
"Famous","KANYE WEST",1270
"Cut It f/Young Dolph","O.T. GENASIS",1237
"Never Forget You","ZARA LARSSON & MNEK",1183
"Promise f/Fetty Wap","KID INK",1120
"Close f/Tove Lo","NICK JONAS",1117
"Middle f/Bipolar Sunshine","DJ SNAKE",1027
"Acquainted","THE WEEKND",983
"7 Years","LUKAS GRAHAM",950
"Law","YO GOTTI",930
"What A Night","KAT DELUNA",909
"Just A Lil' Thick ($he's...","TRINIDAD JAMES",901
"Wake Up","FETTY WAP",710
"Might Be","DJ LUKE NASTYY",630
"Formation","BEYONCE",525
"Controlla","DRAKE",514
"Right Away","JR CASTRO",489
"Go Flex","POST MALONE",483
"Team","IGGY AZALEA",472
"Never Be Like You f/Kai","FLUME",453
"Look But Don't Touch","EMPIRE CAST",452
"No Broken Hearts f/Nicki Minaj","BEBE REXHA",446
"Uber Everywhere","MADEINTYO",372
"NO","MEGHAN TRAINOR",368
"Messin' Around","PITBULL F/ENRIQUE IGLESIAS",345
"4 Real f/Ty$ & ILovemakonnen","DESTRUCTO",305
"In Common","ALICIA KEYS",300
