"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MIGUEL Sure Thing",4351,-13,227,-107,29.758,0.274,6,1,4364,460,29.758
2,"=","KELLY ROWLAND Motivation f/Lil Wayne",3934,116,643,6,26.708,1.096,6,2,3934,643,26.708
3,"=","CHRIS BROWN Look At Me Now",3411,-39,-127,-32,25.408,-0.346,6,2,3494,0,26.238
4,"=","YC Racks f/Future",3375,-36,-25,-45,19.37,-0.143,6,4,3411,104,19.707
5,"=","NICKI MINAJ Did It On'em",2838,-52,-457,26,15.62,-0.292,6,5,3129,0,17.338
6,"+2","BIG SEAN My Last f/Chris Brown",2820,80,356,17,17.894,0.574,6,6,2820,356,17.894
7,"=","KANYE WEST All Of The Lights",2722,-60,-139,-69,20.549,-0.769,6,7,2818,0,21.956
8,"-2","WIZ KHALIFA Roll Up",2720,-104,-427,-90,14.63,-0.709,6,6,3062,0,16.439
9,"=","MARSHA AMBROSIUS Far Away",2595,5,161,-32,16.564,0.194,6,9,2595,287,16.564
10,"=","CHRIS BROWN She Ain't You",2508,21,174,2,18.747,-0.127,6,10,2508,278,19.501
11,"=","ACE HOOD Hustle Hard",2451,1,-4,9,13.73,0.059,6,10,2451,0,13.73
12,"+1","DIDDY-DIRTY MONEY Your Love f/Trey Songz",1959,10,12,20,9.073,0.016,6,12,1959,18,9.073
13,"-1","LIL WAYNE 6 Foot 7 Foot f/Cory Gunz",1958,-32,-331,14,12.906,-0.136,6,12,2135,0,13.815
14,"=","TREY SONGZ Love Faces",1844,-21,-329,49,12.138,0.102,6,13,2055,0,12.452
15,"=","LLOYD Cupid",1754,12,79,11,8.807,0.133,6,15,1754,98,8.807
16,"+1","LIL WAYNE John f/Rick Ross",1695,-8,-19,-19,9.9,0.111,6,16,1723,26,9.9
17,"-1","NICKI MINAJ Moment 4 Life f/Drake",1659,-68,-316,-63,12.248,-0.83,6,15,1922,0,15.778
18,"=","JAMIE FOXX Best Night Of My Life",1566,1,80,-59,9.741,-0.047,6,18,1566,311,9.811
19,"=","KERI HILSON One Night Stand",1516,4,2,15,7.442,0.013,6,18,1553,167,7.442
20,"=","BEYONCE Run The World (Girls)",1503,51,266,29,8.935,0.335,6,20,1503,266,8.935
21,"=","WAKA FLOCKA FLAME Grove St. Party f/Kebo...",1430,-3,-119,34,8.845,-0.062,6,20,1513,0,9.225
22,"=","MARY J. BLIGE Someone To Love Me (Naked)",1362,37,75,56,7.537,0.155,6,22,1362,75,7.537
23,"=","TRAVIS PORTER Bring It Back",1272,-9,-55,-6,7.623,-0.003,6,22,1288,0,7.626
24,"+3","TREY SONGZ Unusual f/Drake",971,87,447,54,7.719,0.622,6,24,971,447,7.719
25,"-1","K. MICHELLE How Many Times",951,-8,35,-33,4.786,0.063,6,24,973,106,4.786
26,"-1","LLOYD BANKS I Don't Deserve You f/Jeremi...",944,3,-22,23,5.932,0.146,6,25,954,0,5.932
27,"-1","ROCKO Goin Steady",914,-18,-21,-9,3.623,0.001,6,26,932,0,3.623
28,"=","K' LA All Your Love",862,6,91,-22,3.411,0.11,6,27,862,157,3.411
29,"+1","RICK ROSS 9 Piece f/Lil Wayne",814,15,185,-32,4.92,0.027,6,29,814,297,4.92
30,"-1","MEEK MILL/RICK ROSS Tupac Back",806,7,208,-68,4.35,0.042,6,28,806,380,4.35
31,"=","RIHANNA Man Down",805,13,289,-55,5.216,0.206,6,31,805,421,5.216
32,"+1","SNOOP DOGG Platinum f/R. Kelly",774,23,85,20,2.892,0.183,6,31,774,85,2.892
33,"-1","YO GOTTI We Can Get It On",772,16,65,18,3.822,0.179,6,28,772,65,3.822
34,"+1","YOUNG JEEZY Ballin f/Lil Wayne",763,64,331,55,4.826,0.132,6,34,763,331,4.826
35,"-1","LUPE FIASCO Out Of My Head f/Trey Songz",739,9,170,-29,6.998,0.057,6,34,739,205,6.998
36,"=","BIRDMAN I Get Money f/Lil Wayne",685,4,29,-16,2.791,0.003,6,33,685,186,2.791
37,"=","GORILLA ZOE Twisted f/Lil Jon",627,9,97,-5,2.122,0.02,6,37,627,129,2.122
38,"=","MARY MARY Walking",592,-15,-136,9,2.639,-0.066,6,31,689,0,2.939
39,"=","MELANIE FIONA Gone And Never Coming Back",581,-10,-51,-4,2.448,0.005,6,37,629,0,2.539
40,"=","KIRKO BANGZ What Yo Name Iz",560,-4,-22,-8,3.737,-0.003,6,39,580,10,3.768
41,"=","JENNIFER HUDSON Where You At",494,3,-114,39,2.152,0.057,6,40,558,0,2.354
42,"=","DJ KHALED Welcome To My Hood f/Rick Ross",436,-12,6,-12,2.706,-0.14,6,42,452,18,2.987
43,"+1","JENNIFER LOPEZ I'm Into You f/Lil Wayne",432,12,9,14,1.484,-0.051,6,43,432,9,1.57
44,"-1","MINDLESS BEHAVIOR My Girl",408,-15,-189,18,1.226,-0.049,6,41,529,0,1.63
45,"=","DJ DRAMA Oh My f/Fab, Wiz, Roscoe",351,5,51,-11,2.718,-0.052,6,45,351,95,2.77
46,"=","LIL TWIST Love Affair f/Lil Wayne",289,-11,-70,-18,0.98,-0.03,6,46,342,0,1.169
47,"+1","CALI SWAG DISTRICT Kickback",261,19,75,18,0.71,0.056,2,47,261,75,0.71
48,"-1","MR. 704 Lately",251,0,-7,-12,0.652,0.019,6,47,262,58,0.652
49,"=","BIG K.R.I.T. Country Sh**",246,12,75,7,0.767,0.041,2,49,246,75,0.767
50,"=","KIRK FRANKLIN I Smile",231,0,-21,0,1.628,0.008,6,49,255,13,1.749
