"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BEYONCE Love On Top",3807,-23,-32,0,23.367,-0.151,87,"181",1,3871,660,25.345
2,"=","CHRIS BROWN Strip f/Kevin McCall",3513,-94,-239,-88,24.665,-0.756,122,"118",1,4014,434,27.968
3,"+1","USHER Climax",3384,56,382,-19,23.391,0.35,46,"43",3,3384,874,23.391
4,"-1","DRAKE The Motto f/Lil Wayne",3369,-63,-228,-42,26.776,-0.662,125,"27",1,4040,755,31.387
5,"+1","RIHANNA Birthday Cake",3034,78,241,89,24.431,0.281,40,"52",5,3034,740,24.431
6,"-1","TREY SONGZ Sex Ain't Better Than Love",2937,-73,-236,-84,19.001,-0.206,86,"241",4,3173,469,20.625
7,"=","LOVERANCE Up! f/50 Cent",2767,63,282,9,19.342,0.39,74,"92",7,2767,550,19.342
8,"=","KIRKO BANGZ Drank In My Cup",2565,49,172,47,17.163,0.194,183,"84",8,2565,305,17.163
9,"=","TYGA Rack City",2363,-100,-304,-30,14.767,-0.488,117,"40",3,3541,726,20.955
10,"=","TRAVIS PORTER Ayy Ladies f/Tyga",2238,-1,62,-19,14.393,-0.108,78,"76",10,2239,378,14.558
11,"=","FUTURE Magic f/T.I.",2220,-18,-127,0,13.641,-0.18,81,"127",9,2393,343,14.368
12,"=","FAT JOE Another Round f/Chris Brown",1982,9,94,-14,15.794,-0.049,95,"144",12,1982,398,16.281
13,"+1","YOUNG JEEZY Leave You Alone f/Ne-Yo",1936,57,313,42,13.451,0.606,40,"201",13,1936,448,13.451
14,"-1","DIGGY Do It Like You f/Jeremih",1877,-79,-457,20,10.584,-0.21,138,"--",7,2513,351,16.141
15,"=","WALE Sabotage f/Lloyd",1856,29,237,6,10.671,0.105,60,"730",15,1856,316,10.671
16,"=","CASH OUT Cashin Out",1741,16,236,-6,8.826,-0.057,66,"172",16,1741,293,8.883
17,"=","MONICA & BRANDY It All Belongs To Me",1580,5,-14,-9,7.857,0.007,49,"677",17,1610,595,8.101
18,"=","YOUNG JEEZY I Do f/JAY Z & Andre 3000",1523,-49,-168,-66,12.262,-0.263,131,"421",1,3789,635,22.939
19,"=","J. COLE Nobody's Perfect",1479,16,194,-35,7.372,0.184,60,"--",19,1479,297,7.372
20,"=","JENNIFER HUDSON Think Like A Man f/Ne-Yo",1138,18,82,1,5.94,0.119,60,"184",20,1138,237,5.94
21,"=","MARY J. BLIGE Mr. Wrong",1100,6,-125,24,7.627,0.178,147,"--",9,2443,307,13.18
22,"=","MGK Wild Boy f/Waka Flocka Flame",1074,13,98,14,4.73,0.045,77,"--",22,1074,291,4.836
23,"=","ELLE VARNER Refill",1064,5,87,-16,5.912,0.051,38,"410",22,1064,294,5.912
24,"=","RIHANNA Talk That Talk f/Jay-Z",964,-28,-431,44,5.778,-0.041,80,"63",11,2127,549,13.116
25,"+2","FUTURE Same Damn Time",898,42,386,2,6.709,0.039,17,"--",25,898,386,6.709
26,"-1","JAY Z & KANYE WEST Gotta Have It",895,-17,-17,-21,8.432,0.071,122,"355",11,2245,497,13.57
27,"-1","JAY Z & KANYE WEST No Church In The Wild",893,29,232,-12,8.419,0.256,16,"420",26,893,353,8.419
28,"=","TYRESE Stay",817,-5,-110,24,5.712,0.007,101,"--",24,1045,317,6.972
29,"+1","THE-DREAM Roc",797,17,-34,32,4.17,0.135,66,"--",29,851,251,4.246
30,"-1","JOHN LEGEND Tonight (Best You Ever Had)",782,-23,-156,-32,3.681,-0.116,52,"416",27,942,233,4.466
31,"=","WAKA FLOCKA FLAME I Don't Really Care",769,7,182,-58,4.208,0.045,14,"57",31,769,346,4.208
32,"=","TYGA Faded f/Lil Wayne",716,28,174,-27,5.111,0.182,13,"87",32,716,341,5.111
33,"+2","NICKI MINAJ Right By My Side f/Chris Bro...",706,56,405,18,6.268,0.263,9,"18",33,706,405,6.268
34,"-1","DRAKE Take Care f/Rihanna",685,17,82,9,8.982,0.138,80,"30",32,685,134,8.982
35,"-1","YOUNG JEEZY SupaFreak f/2 Chainz",677,13,-35,18,5.482,-0.016,73,"745",30,774,174,5.699
36,"=","OMG GIRLZ Gucci This (Gucci That)",613,7,91,-9,2.783,0.004,34,"--",35,613,175,2.783
37,"=","50 CENT I Just Wanna f/Tony Yayo",528,-8,-50,-14,2.249,-0.095,34,"254",34,591,152,2.716
38,"+1","DJ KHALED Take It To The Head",513,44,452,-3,5.063,0.157,4,"20",38,513,455,5.063
39,"-1","FRENCH MONTANA Shot Caller",492,-17,-77,-24,2.654,-0.069,91,"--",19,1465,305,7.031
40,"+1","TREY SONGZ Heart Attack",464,54,199,21,4.82,0.254,7,"93",37,550,550,6.879
41,"+2","FRANK OCEAN Thinking About You",426,20,45,7,1.955,0.209,18,"--",41,426,142,1.955
42,"-2","DRAKE Crew Love f/The Weekend",421,10,115,10,7.842,0.288,24,"370",40,421,115,7.842
43,"-1","ROCKO Squares Out Your Circle",409,-1,18,-10,1.541,-0.028,49,"--",40,420,112,1.792
44,"=","MELANIE FIONA 6 AM f/T-Pain",405,-1,-41,17,1.792,0.006,22,"--",40,464,189,2.029
45,"=","2 CHAINZ Riot",400,29,149,19,1.974,0.154,3,"--",45,400,149,1.974
46,"=","DAY26 Made Love Lately",372,4,56,-27,1.304,0.06,9,"--",45,391,214,1.333
