"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","LIL WAYNE","No Worries f/Deta...",3575,-10,-78,-58,24.076,-0.079,119,"42",1,3675,439,24.879
2,"=","KENDRICK LAMAR","Swimming Pools (D...",3517,2,-13,-25,28.222,0.245,147,"35",1,3879,635,28.222
3,"=","CHRIS BROWN","Don't Judge Me",3445,98,257,71,25.86,0.874,134,"128",3,3445,383,25.86
4,"=","MIGUEL","Adorn",2977,45,10,-5,26.799,0.768,188,"142",1,4133,707,32.175
5,"=","THE WEEKND","Wicked Games",2818,59,105,23,17.991,0.573,99,"79",5,2818,400,17.991
6,"=","2 CHAINZ","I'm Different",2795,58,214,30,19.919,0.242,67,"31",6,2795,522,19.919
7,"=","T.I.","Ball f/Lil Wayne",2761,29,142,-30,20.334,-0.043,80,"281",7,2761,444,20.377
8,"=","JUICY J","Bands A Make Her ...",2625,-7,-41,-61,19.118,0.053,143,"56",1,3864,506,28.599
9,"+1","FRANK OCEAN","Thinking About Yo...",2576,82,162,102,20.776,0.913,298,"88",5,3355,567,26.126
10,"-1","KANYE WEST","Clique f/Big Sean...",2501,-27,-112,-47,18.923,-0.19,123,"41",3,3590,774,26.918
11,"=","TRINIDAD JAMES","All Gold Everythi...",2398,78,343,21,18.872,0.954,59,"68",11,2398,476,18.872
12,"+3","FUTURE","Neva End f/Kelly ...",2266,85,178,70,16.571,0.635,69,"134",12,2266,437,16.571
13,"+1","A$AP ROCKY","F**kin Problems f...",2259,77,415,34,18.756,0.612,59,"--",13,2259,432,18.756
14,"-1","WIZ KHALIFA","Remember You f/Th...",2231,25,42,-18,14.951,0.406,87,"84",12,2231,324,14.951
15,"-3","RIHANNA","Diamonds",2215,-6,-60,-49,17.73,0.392,89,"18",11,2308,475,17.73
16,"=","RICK ROSS","Diced Pineapples ...",2034,12,-129,32,16.588,0.426,137,"222",7,2885,347,22.21
17,"=","KEYSHIA COLE","Trust And Believe",1830,83,153,65,12.266,0.535,75,"378",17,1830,399,12.266
18,"=","BIG SEAN","Guap",1586,12,49,-16,9.984,0.203,60,"76",18,1586,322,9.984
19,"=","MIGUEL","Do You",1552,58,169,46,10.424,0.359,70,"--",19,1552,362,10.424
20,"=","GAME","Celebration f/Chr...",1433,25,71,6,7.312,0.105,104,"141",20,1433,297,7.312
21,"=","LUDACRIS","Representin' f/Ke...",1322,6,-72,9,8.861,-0.084,95,"--",14,1914,331,13.512
22,"=","KENDRICK LAMAR","Poetic Justice f/...",1124,51,248,27,9.275,0.588,57,"89",22,1124,248,9.275
23,"=","MEEK MILL","Young And Gettin ...",1047,-22,-94,-40,6.621,-0.228,100,"137",13,1991,504,12.105
24,"=","CIARA","Sorry",1012,-39,-198,-54,4.855,-0.11,102,"--",19,1547,234,8.604
25,"+1","ALICIA KEYS","Brand New Me",955,43,159,44,5.583,0.122,40,"326",25,955,289,5.583
26,"-1","CHIEF KEEF","Love Sosa",927,12,-5,14,5.466,0.041,60,"75",25,988,310,5.892
27,"=","RIHANNA","Pour It Up",888,34,259,-2,9.471,0.631,19,"80",27,888,266,9.471
28,"=","OMARION","M.I.A. f/Wale",812,14,-28,10,4.253,0.036,54,"--",28,843,224,4.253
29,"=","YO GOTTI","Check",663,10,71,25,3.025,0.045,62,"--",29,663,122,3.05
30,"+2","SEVYN STREETER","I Like It",605,29,107,26,3.076,0.242,38,"--",30,605,166,3.076
31,"-1","JONN HART","Who Booty f/Frenc...",595,-7,-17,-23,2.512,0.008,45,"139",30,632,199,2.601
32,"-1","JOE BUDDEN","She Don't Put It ...",590,0,54,-4,3.358,0.09,52,"--",31,590,203,3.358
33,"=","FAT JOE","Yellow Tape f/Lil...",550,17,6,7,3.151,0.171,24,"--",33,555,300,3.179
34,"+4","TAMAR BRAXTON","Love And War",534,52,265,50,3.84,0.387,6,"185",34,534,265,3.84
35,"-1","TITO LOPEZ","The Blues",504,0,15,-7,1.634,-0.049,108,"--",32,605,99,2.033
36,"=","BRIDGET KELLY","Special Delivery",500,9,1,0,2.457,0.147,90,"--",32,541,177,2.74
37,"=","B.O.B","Still In This B**...",492,5,38,-18,3.109,0.107,31,"36",37,492,128,3.109
38,"-3","ACE HOOD","Need Your Love",485,-13,-42,-20,2.105,-0.063,74,"--",32,619,212,2.932
39,"=","WATCH THE DUCK","Poppin' Off",439,-10,-66,-26,1.285,0.058,39,"--",33,577,136,1.296
40,"=","BIRDMAN","Shout Out f/Gudda...",420,5,23,6,1.596,0.04,36,"--",39,420,220,1.67
41,"=","YOUNG JEEZY","Get Right",383,-2,-9,2,1.581,0,68,"--",30,641,282,3.86
42,"+6","LIL WAYNE","Love Me f/Drake &...",365,65,365,65,3.793,0.555,2,"--",42,365,365,3.793
43,"-1","MARSHA AMBROSIUS","Cold War",358,5,56,-13,1.432,-0.002,6,"--",42,358,69,1.434
44,"-1","NE-YO","Don't Make Em Lik...",352,9,-13,3,1.59,0.127,73,"--",33,569,193,2.562
45,"+2","RIHANNA","Loveeeeeee Song f...",350,31,189,25,4.748,0.489,3,"158",45,350,189,4.748
46,"-1","JARVIS","Make A Little Roo...",334,2,24,4,1.744,-0.032,41,"--",45,366,63,1.776
47,"-3","NICKI MINAJ","Freedom",333,-2,30,-3,1.016,-0.042,43,"--",44,421,128,2.562
48,"-2","ROCKO","Nachos",320,0,23,-6,1.086,0.001,3,"--",46,320,29,1.086
49,"=","SLICE9","Another One f/Fut...",311,14,-1,14,1.053,0.093,17,"--",48,329,77,1.08
50,"=","MARCUS CANTY","Used By You",301,5,-12,-1,1.077,0.069,33,"--",47,343,114,1.135
