"Title","Artist","Spins"
"Drunk In Love f/Jay Z","BEYONCE",4540
"Show Me f/Chris Brown","KID INK",3788
"My Hitta f/Jeezy,RichHomieQuan","YG",3449
"They Don't Know","RICO LOVE",3231
"The Language","DRAKE",3083
"Paranoid","TY DOLLA $IGN",2897
"Royals","LORDE",2723
"Up Down (Do This All Day)","T-PAIN",2614
"It Won't Stop","SEVYN STREETER",2549
"All Me f/2 Chainz & Big Sean","DRAKE",2414
"All Of Me","JOHN LEGEND",2115
"Part II (On The Run) f/Beyonce","JAY Z",2079
"Na Na","TREY SONGZ",2059
"Happy","PHARRELL WILLIAMS",1974
"Loyal f/Lil' Wayne","CHRIS BROWN",1912
"The Worst","JHENE AIKO",1843
"Can't Raise A Man","K. MICHELLE",1788
"Primetime f/Miguel","JANELLE MONAE",1602
"O.G. Bobby Johnson","QUE",1258
"Ghetto f/Rich Homie Quan","AUGUST ALSINA",1252
"Sex You","BANDO JONEZ",1082
"Cold Blood","YO GOTTI",1068
"Partition","BEYONCE",1002
"Stoner","YOUNG THUG",983
"Double Cup f/Jeezy, Ludacris","DJ INFAMOUS",963
"Man Of The Year","SCHOOLBOY Q",902
"The Devil Is A Lie f/Jay Z","RICK ROSS",830
"Money Baby f/Kwony Cash","K CAMP",821
"The Monster f/Rihanna","EMINEM",735
"Gas Pedal","SAGE THE GEMINI",586
"What I'm About","JABO",572
"Who Do You Love f/Drake","YG",564
"Drop It f/B.o.B.","TREVOR JACKSON",532
"The Man","ALOE BLACC",525
"She Knows","J. COLE",495
"Shhh","FUTURE",480
"Drop That #NaeNae","WE ARE TOONZ",465
"Yayo","SNOOTIE WILD",413
"Cookie","R. KELLY",407
"We Alright f/Euro, Birdman","YOUNG MONEY",401
"Cut Her Off","K CAMP",396
"Show Da World f/Kiara","BOOSIE & WEBBIE",390
"Throwback f/Chris Brown","B.O.B",367
"23 f/Miley Cyrus, Wiz Khalifa","MIKE WILL MADE-IT",355
"Move That Doh f/Pharrel","FUTURE",350
"Lookin Ass f/Nicki Minaj","YOUNG MONEY",347
"Next","SEVYN STREETER",338
"Worst Behavior","DRAKE",334
"Right Now f/Pheo","CASHIUS GREEN",271
"Pop Out f/King Louie","KATIE GOT BANDZ",268
