"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","RIHANNA","Work f/Drake",4568,-101,-322,-77,36.586,-0.367,87,"68",1,5499,1798,43.34
2,"=","JEREMIH","Oui",4425,-17,139,-19,29.432,-0.467,158,"113",2,4442,438,30.167
3,"=","BRYSON TILLER","Exchange",4341,-13,11,-31,28.246,-0.169,102,"252",2,4403,604,29.129
4,"=","KEVIN GATES","2 Phones",3576,-25,-2,-88,21.404,-0.317,104,"80",4,3605,724,22.399
5,"=","DJ LUKE NASTYY","Might Be",3513,-77,-310,-62,23.278,-0.457,121,"400",3,3915,510,24.626
6,"=","O.T. GENASIS","Cut It f/Young Dolph",3404,-77,154,-138,20.086,-0.486,101,"--",6,3481,595,20.572
7,"=","DESIIGNER","Panda",3399,53,592,-15,23.968,0.06,49,"18",7,3399,686,23.968
8,"=","YOUNG GREATNESS","Moolah",2933,-43,15,-46,15.531,-0.629,142,"308",8,3004,420,16.956
9,"+1","BRYSON TILLER","Don't",2712,-33,-297,19,20.66,0.296,257,"287",1,4524,451,30.777
10,"-1","BEYONCE","Formation",2671,-85,-414,-16,18.775,-0.438,74,"--",3,3811,1709,26.652
11,"=","YO GOTTI","Law",2619,31,190,-10,16.04,0.155,56,"383",11,2619,477,16.153
12,"=","DREEZY","Body f/Jeremih",2366,-14,98,-28,12.922,-0.091,78,"177",12,2380,478,13.08
13,"=","FUTURE","Low Life f/The Weeknd",2250,26,250,15,13.228,0.054,51,"106",13,2250,401,13.435
14,"=","KENT JONES","Don't Mind",2017,3,139,-18,12.659,0.124,64,"--",14,2017,353,12.659
15,"=","J. COLE","Love Yourz",1967,-3,42,-35,10.874,0.189,74,"974",14,2000,345,10.874
16,"=","FAT JOE & REMY MA","All The Way Up",1911,16,112,-15,12.381,-0.038,38,"154",16,1911,437,12.811
17,"=","PLIES","Ran Off On Da Plug Twice",1663,14,56,-1,9.049,0.103,56,"993",17,1685,230,9.398
18,"+1","A$AP FERG","New Level",1651,19,70,0,8.25,-0.055,68,"129",18,1651,271,8.475
19,"-1","DRAKE","Summer Sixteen",1568,-69,-349,-22,9.719,-0.526,77,"251",11,2629,652,16.18
20,"=","RO JAMES","Permission",1549,-35,-357,12,8.426,-0.093,86,"467",12,2196,542,13.021
21,"=","KAYLA BRIANNA","Do You Remember",1470,30,114,53,7.445,0.201,38,"--",21,1470,419,7.489
22,"=","RIHANNA","Needed Me",1442,44,340,-12,10.993,0.199,18,"58",22,1442,599,10.993
23,"=","RAE SREMMURD","By Chance",1336,-10,129,-36,7.352,-0.092,41,"502",23,1346,327,7.721
24,"+1","DRAKE","One Dance f/Wizkid & Kyla",1246,56,573,-38,7.939,0.322,13,"17",24,1246,628,7.939
25,"-1","YOUNG THUG","Best Friend",1185,-94,-398,-63,6.651,-0.442,133,"370",5,3578,731,20.312
26,"=","PUFF DADDY & THE FAMILY","You Could Be My Lover",1120,2,6,7,3.809,-0.03,100,"--",22,1159,317,4.532
27,"=","BELLY","Might Not f/The Weeknd",1109,35,155,20,5.508,0.187,81,"194",27,1109,221,5.508
28,"=","KANYE WEST","Famous",1057,6,148,-35,5.978,-0.069,23,"--",27,1061,406,6.281
29,"=","KID INK","Promise f/Fetty Wap",1026,-17,23,-38,3.592,-0.038,73,"206",26,1050,214,3.735
30,"+1","MADEINTYO","Uber Everywhere",975,11,170,-46,3.358,0.014,33,"247",30,975,248,3.413
31,"-1","TORY LANEZ","LA Confidential",964,-25,-23,-42,3.287,-0.09,59,"446",24,1006,270,3.943
32,"+1","T.I.","Money Talk",845,29,235,3,4.057,0.206,15,"--",32,845,312,4.057
33,"-1","K. MICHELLE","Not A Little Bit",787,-33,-447,11,3.787,-0.171,73,"--",18,1653,323,8.051
34,"=","50 CENT","I'm The Man f/Sonny Digital",754,-8,18,-16,2.569,-0.229,57,"899",33,772,217,2.904
35,"=","THE WEEKND","Acquainted",743,3,-66,7,5.666,0.313,150,"232",10,2575,345,15.067
36,"+1","FUTURE","Wicked",640,-16,-85,-6,4.029,-0.086,43,"187",34,735,136,4.93
37,"-1","ZENDAYA","Something New f/Chris Brown",635,-34,-239,-19,2.035,-0.089,62,"549",29,936,168,3.066
38,"+1","YOUNG DOLPH","Get Paid",599,17,-24,44,2.304,0.015,41,"--",32,688,124,2.736
39,"-1","DLOW","Do It Like Me",580,-7,2,-23,2.427,-0.086,34,"--",38,611,293,2.781
40,"=","2 CHAINZ","Gotta Lotta f/Lil Wayne",570,14,-39,28,2.059,0.094,27,"758",38,623,276,2.299
41,"=","DRAKE","Pop Style f/The Throne",527,-18,23,-40,4.305,-0.11,16,"84",39,580,580,6.527
42,"=","DAE DAE","Wat U Mean",516,29,136,11,2.214,0.071,11,"--",42,516,169,2.214
43,"=","BABY E","Finessin f/Lil Wayne",447,-4,50,-20,0.787,0.01,27,"--",43,451,146,0.831
44,"+1","S-8IGHTY","Halfway",443,36,103,32,1.775,0.136,18,"--",44,443,103,1.775
45,"-1","FUTURE","Stick Talk",431,-6,-20,-12,2.273,-0.086,84,"654",42,507,131,3.602
46,"=","TANK","#BDAY",410,9,86,7,0.992,0.028,10,"--",46,410,86,1.023
47,"=","JUSTIN BIEBER","Company",403,4,48,-6,1.419,0.054,17,"182",45,404,235,1.419
48,"=","ANDRA DAY","Rise Up",393,1,29,-4,1.291,0.006,33,"312",45,393,57,1.509
49,"=","JEREMIH","Pass Dat",390,14,259,-30,1.188,-0.015,4,"--",49,390,320,1.203
50,"=","ERYKAH BADU","Phone Down",302,-24,-27,-49,0.823,-0.052,57,"--",43,457,253,1.974
