"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",14053,-40,-206,-22,91.213,-0.35,39,1,14295,2273,96.15
2,"=","PITBULL Give Me Everything f/Ne-Yo",12628,275,1549,25,85.523,1.366,39,2,12628,1811,85.523
3,"=","BRUNO MARS Lazy Song",11103,-33,-262,-3,58.793,-0.378,39,3,11422,1054,61.587
4,"=","KATY PERRY E.T.",10717,-169,-995,49,75.863,-0.222,39,1,14624,0,96.745
5,"=","BLACK EYED PEAS Just Can't Get Enough",10590,-126,-1040,8,70.668,-1.423,39,2,13366,715,84.474
6,"=","LADY GAGA The Edge Of Glory",9396,178,1483,-47,58.87,1.364,39,6,9396,2193,58.87
7,"=","BRITNEY SPEARS Till The World Ends",8643,-259,-1579,-123,54.95,-1.858,39,3,11896,966,75.819
8,"=","LUPE FIASCO The Show Goes On",7959,123,678,98,47.661,1.096,39,8,7959,1043,47.661
9,"=","JENNIFER LOPEZ F/PITBULL On The Floor",7590,-243,-1248,-149,47.923,-1.175,39,5,10169,668,65.118
10,"=","LMFAO Party Rock Anthem",7515,257,1593,33,53.213,1.573,39,10,7515,1593,53.213
11,"=","JASON DERULO Don't Wanna Go Home",6068,142,634,78,35.279,0.718,37,11,6068,1463,35.279
12,"+1","HOT CHELLE RAE Tonight Tonight",5209,-11,368,-130,26.446,0.08,39,12,5220,643,26.446
13,"-1","TINIE TEMPAH Written In The Stars",5199,-124,-1198,86,28.719,-0.633,39,7,8819,756,54.175
14,"=","ONEREPUBLIC Good Life",5050,79,577,-13,26.302,0.368,39,14,5050,604,26.302
15,"=","WIZ KHALIFA Roll Up",5020,50,186,36,26.221,0.186,39,14,5020,725,26.433
16,"=","KATY PERRY Last Friday Night (T.G.I.F.)",4999,343,2124,84,32.687,2.4,22,16,4999,2124,32.687
17,"+1","NICKI MINAJ Super Bass",4719,130,1092,-96,29.808,1.33,39,17,4719,1188,29.808
