"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","PITBULL Give Me Everything f/Ne-Yo",13675,"+44",402,"+77",93.299,"-0.021",53,1,13675,1811,93.32
"2",2,"=","ADELE Rolling In The Deep",12954,"-145",-771,"-119",88.65,"-0.731",53,1,14295,2273,96.15
"3",3,"=","LADY GAGA The Edge Of Glory",11191,"+94",715,"+34",64.482,"+0.526",53,3,11191,2193,64.482
"4",4,"=","LMFAO Party Rock Anthem",10680,"+142",1378,"-43",71.26,"+0.632",53,4,10680,1859,71.26
"5",5,"+3","KATY PERRY Last Friday Night (T.G.I.F.)",8754,"+264",2081,"+43",56.423,"+1.622",36,5,8754,2124,56.423
"6",6,"-1","KATY PERRY E.T.",8724,"-187",-1128,"-66",63.537,"-2.337",53,1,14624,0,96.745
"7",7,"-1","LUPE FIASCO The Show Goes On",8715,"+42",305,"+9",52.12,"-0.401",53,6,8715,1043,53.459
"8",8,"-1","BLACK EYED PEAS Just Can't Get Enough",8260,"-244",-1359,"-83",59.377,"-1.062",53,2,13366,715,84.474
"9",9,"=","BRUNO MARS Lazy Song",8073,"-191",-1893,"+89",39.128,"-0.842",53,3,11422,1054,61.587
"10",10,"=","JASON DERULO Don't Wanna Go Home",6904,"+8",215,"-44",36.511,"-0.212",51,10,6904,1463,37.039
"11",11,"=","NICKI MINAJ Super Bass",6750,"+139",1003,"+0",40.908,"+0.839",53,11,6750,1188,40.908
"12",12,"=","ONEREPUBLIC Good Life",6437,"+103",823,"+14",37.618,"+1.157",53,12,6437,823,37.618
"13",13,"=","HOT CHELLE RAE Tonight Tonight",6357,"+27",308,"-112",32.738,"+0.477",53,12,6357,838,32.738
"14",14,"=","BRITNEY SPEARS Till The World Ends",6089,"-135",-1166,"+79",40.593,"-0.364",53,3,11896,966,75.819
"15",15,"=","JENNIFER LOPEZ F/PITBULL On The Floor",4793,"-42",-996,"+287",34.133,"-0.681",53,5,10169,668,65.118
"16",16,"=","WIZ KHALIFA Roll Up",3947,"-165",-796,"-63",18.082,"-1.044",53,14,5043,725,26.478
"17",17,"+3","BRITNEY SPEARS I Wanna Go",3919,"+169",1584,"-165",28.116,"+1.047",19,17,3919,1768,28.116
"18",18,"+1","NICOLE SCHERZINGER Right There",3809,"+28",541,"-33",19.616,"+0.241",37,18,3809,720,19.616
"19",19,"-1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3739,"-62",-87,"-74",19.726,"-0.532",51,18,3879,864,21.943
"20",20,"-3","SELENA GOMEZ & THE SCENE Who Says",3591,"-241",-810,"-224",16.334,"-1.665",53,17,4559,707,27.282
"21",21,"+1","RIHANNA California King Bed",3409,"+66",355,"+9",14.557,"+0.003",48,21,3409,616,14.846
"22",22,"+2","THE BAND PERRY If I Die Young",3358,"+63",424,"-9",17.352,"+0.280",53,22,3358,655,17.352
"23",23,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3299,"-39",329,"-149",15.883,"-0.062",53,23,3338,525,15.945
"24",24,"-3","MARTIN SOLVEIG & DRAGONETTE Hello",3280,"-106",-637,"-60",20.842,"-0.101",53,18,4031,605,23.761
"25",25,"=","TAYLOR SWIFT The Story Of Us",3229,"-17",-37,"-29",16,"-0.355",53,21,3295,587,17.303
"26",26,"=","TINIE TEMPAH Written In The Stars",2950,"-41",-871,"+178",18.411,"-0.478",53,7,8819,756,54.175
"27",27,"=","BEYONCE Best Thing I Never Had",2794,"+55",624,"-65",14.316,"+0.239",25,27,2794,856,14.316
"28",28,"=","JEREMIH Down On Me f/50 Cent",2370,"-84",-509,"-61",15.554,"-0.426",53,10,8052,153,44.2
"29",29,"=","MAROON 5 Never Gonna Leave This Bed",2347,"+18",229,"-19",9.981,"+0.061",53,28,2347,312,9.981
"30",30,"=","CHRIS BROWN She Ain't You",2113,"+90",528,"+37",10.62,"+0.641",42,30,2113,528,10.62
"31",31,"=","LIL WAYNE How To Love",1905,"+100",540,"+45",10.183,"+0.581",28,31,1905,540,10.183
"32",32,"=","LADY GAGA Born This Way",1690,"-48",-90,"-73",11.761,"-0.035",53,19,3651,0,20.436
"33",33,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1594,"+45",334,"+1",8.586,"+0.515",28,33,1594,502,8.586
