"","Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",13890,100,556,111,85.819,0.411,123,"8",1,13890,1685,85.819
"2",2,"=","ADELE Someone Like You",13502,-23,100,27,90.285,-0.176,84,"3",2,13563,2614,91.686
"3",3,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",13465,-49,-266,70,90.473,-0.596,113,"5",1,14127,1893,93.336
"4",4,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",11262,0,211,27,69.969,0.143,138,"12",4,11262,1097,70.438
"5",5,"=","FOSTER THE PEOPLE Pumped Up Kicks",10788,-186,-701,-145,61.136,-1.26,108,"4",3,12112,1356,70.246
"6",6,"=","DAVID GUETTA Without You f/Usher",10670,22,1037,-48,65.396,0.577,64,"7",6,10670,1586,65.396
"7",7,"=","LMFAO Sexy And I Know It",8797,174,1249,85,57.052,0.894,64,"2",7,8797,1530,57.052
"8",8,"=","DEV In The Dark",7848,5,159,59,49.353,-0.211,93,"18",8,7856,1224,50.748
"9",9,"=","RIHANNA We Found Love f/Calvin Harris",7789,128,1122,1,54.806,1.246,35,"1",9,7789,2184,54.806
"10",10,"=","LADY GAGA You And I",7539,-103,-257,-88,38.332,-0.899,82,"19",7,7824,1553,44.474
"11",11,"=","LMFAO Party Rock Anthem",6670,-26,-97,111,43.302,-0.726,172,"10/96",1,14043,1859,94.193
"12",12,"=","JASON DERULO It Girl",6240,99,434,108,28.538,0.18,73,"14",12,6240,1048,28.538
"13",13,"=","PITBULL Give Me Everything f/Ne-Yo",5770,-61,-180,3,39.34,-0.086,172,"34",1,14233,1811,95.596
"14",14,"=","BAD MEETS EVIL Lighters f/Bruno Mars",5611,-44,-622,176,36.074,-0.246,126,"61",2,11835,1599,78.403
"15",15,"=","NICKI MINAJ Super Bass",5345,-41,-291,57,36.373,-0.058,172,"26",3,12009,1188,73.23
"16",16,"=","KELLY CLARKSON Mr. Know It All",5288,33,267,-19,26.288,0.317,56,"9",16,5307,1093,26.288
"17",17,"+2","BRUNO MARS It Will Rain",4423,90,954,-101,24.776,0.641,27,"15",17,4423,1337,24.776
