"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","RIHANNA We Found Love f/Calvin Harris",13726,"+237",140,"+390",91.983,"+2.667",105,"5",1,14238,2184,95.493
2,"=","BRUNO MARS It Will Rain",12924,"+267",336,"+344",80.459,"+3.467",97,"6",2,12924,2024,80.459
3,"=","KATY PERRY The One That Got Away",12818,"+284",304,"+364",74.196,"+2.498",93,"8",2,12818,1631,75.028
4,"=","FLO RIDA Good Feeling",10681,"+260",473,"+287",69.234,"+2.635",105,"4",4,10681,1207,69.234
5,"=","LMFAO Sexy And I Know It",10218,"-11",-412,"+70",63.861,"+0.648",134,"3",2,12000,1530,74.768
6,"=","DAVID GUETTA Without You f/Usher",9292,"+93",-69,"+103",57.688,"+0.893",134,"28",1,13428,1586,84.476
7,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",7886,"-26",-256,"-11",52.148,"+0.302",193,"19",1,13951,1685,86.013
8,"=","SELENA GOMEZ & THE SCENE Love You Like A...",7615,"+210",284,"+258",39.255,"+1.559",138,"29",8,7615,1048,39.255
9,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",6430,"-87",-123,"-92",39.785,"-0.256",183,"17",1,14127,1893,93.336
10,"=","ADELE Set Fire To The Rain",6384,"+400",1214,"+393",41.084,"+3.497",44,"2",10,6384,1581,41.084
11,"+1","T-PAIN 5 O'clock f/Wiz Khalifa",5876,"+43",-310,"+177",28.729,"+0.139",92,"25",10,6640,1264,34.118
12,"-1","COBRA STARSHIP You Make Me Feel... f/Sab...",5819,"-27",-105,"-68",37.149,"-0.169",208,"44",4,11548,1097,70.438
13,"+1","JESSIE J Domino",5615,"+199",569,"+207",33.385,"+1.986",114,"15",13,5615,769,33.385
14,"-1","ADELE Someone Like You",5509,"-24",-343,"+48",39.205,"+0.049",154,"12",2,13563,2614,91.686
15,"+1","GAVIN DEGRAW Not Over You",5229,"+139",191,"+157",25.054,"+1.036",136,"20",15,5229,547,25.648
16,"+1","LADY GAGA Marry The Night",5010,"+17",-210,"+12",26.644,"+0.520",60,"42",14,5499,1570,30.701
17,"-2","KELLY CLARKSON Mr. Know It All",4954,"-160",-488,"-145",25.519,"-0.248",126,"34",11,6408,1093,34.137
18,"=","J. COLE Workout",4904,"+129",202,"+167",31.918,"+1.439",76,"21",18,4904,659,32.034
19,"=","DRAKE Headlines",4702,"+71",143,"+115",29.393,"+0.756",84,"32",17,4702,754,30.781
20,"=","RIHANNA You Da One",4127,"+97",191,"+157",24.108,"+1.195",58,"24",19,4127,3394,36.963
21,"=","BREATHE CAROLINA Blackout",4057,"+123",222,"+130",20.104,"+1.091",136,"37",21,4057,498,20.104
22,"=","JAY Z & KANYE WEST N***** In Paris",4043,"+174",156,"+221",30.192,"+1.465",63,"9",21,4043,785,30.874
23,"=","HOT CHELLE RAE I Like It Like That f/New...",3638,"+89",103,"+93",16.888,"+0.844",100,"31",23,3638,535,16.888
24,"=","DEV In The Dark",3334,"-60",-148,"-73",24.791,"-0.173",163,"122",8,8037,1224,51.486
25,"+1","PITBULL F/CHRIS BROWN International Love",3172,"+229",347,"+219",21.738,"+1.733",66,"18",25,3172,507,21.738
26,"+1","GYM CLASS HEROES Ass Back Home",3078,"+280",757,"+310",18.672,"+1.886",45,"53",26,3078,757,18.672
27,"-2","OUTASIGHT Tonight Is The Night",3064,"+86",167,"+110",15.409,"+0.641",68,"39",25,3064,500,15.409
28,"=","DAVID GUETTA Turn Me On f/Nicki Minaj",2917,"+350",907,"+330",19.132,"+2.358",28,"13",28,2917,907,19.132
29,"=","FRAY Heartbeat",2371,"+55",27,"+56",10.529,"+0.628",73,"94",27,2515,677,12.362
30,"=","JASON DERULO It Girl",2179,"+26",-11,"+33",8.865,"-0.097",143,"40",10,6647,1048,29.647
31,"=","AVRIL LAVIGNE Wish You Were Here",1810,"+31",-3,"+62",6.074,"+0.315",63,"90",30,1965,503,7.725
32,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",1526,"+50",123,"+21",7.994,"+0.496",45,"7",32,1526,307,7.994
33,"=","ALEXANDRA STAN Mr. Saxobeat",1418,"+4",46,"-16",13.56,"+0.078",168,"116",18,4585,673,38.816
34,"=","LADY ANTEBELLUM Just A Kiss",1319,"+13",-115,"+61",5.202,"+0.160",109,"47",23,2755,525,13.059
35,"=","BIG TIME RUSH Music Sounds Better With U",1249,"+41",77,"+60",4.167,"+0.297",42,"681",35,1249,221,4.167
36,"+1","WILL.I.AM T.H.E (The Hardest Ever)",1156,"+60",113,"+66",3.832,"+0.278",31,"65",36,1156,355,3.832
37,"-1","NICKI MINAJ Fly f/Rihanna",1069,"-51",-267,"-1",6.854,"-0.588",112,"77",15,4998,987,27.303
38,"=","JOJO Disaster",1036,"+6",62,"+3",2.964,"+0.063",56,"584",38,1036,197,2.964
39,"+1","WE THE KINGS Say You Like Me",1021,"+39",39,"+59",2.515,"+0.103",111,"361",37,1050,320,2.605
40,"+1","BIG SEAN Dance (A$$)",1000,"+79",182,"+73",7.837,"+0.710",35,"22",40,1000,182,7.837
41,"-2","LADY GAGA You And I",978,"-42",-120,"-61",5.173,"-0.413",152,"62",7,7824,1553,44.474
42,"=","COLDPLAY Princess Of China",842,"+23",9,"+29",3.8,"+0.112",43,"141",41,853,155,3.982
43,"=","TIMBALAND Pass At Me f/Pitbull",803,"+1",-75,"+22",5.48,"+0.216",56,"397",35,1142,319,7.395
44,"=","COLBIE CAILLAT Brighter Than The Sun",709,"+9",44,"+4",2.431,"+0.043",63,"74",41,832,119,2.442
45,"=","KARMIN Crash Your Party",674,"-3",-184,"+31",3.616,"+0.319",56,"--",35,1073,234,5.128
46,"=","COBRA STARSHIP Middle Finger f/Mac Mille...",591,"+42",120,"+60",2.455,"+0.331",15,"--",46,591,120,2.455
47,"=","MIKE POSNER Looks Like Sex",508,"+17",50,"+13",2.393,"+0.064",18,"488",47,508,166,2.409
48,"=","DAUGHTRY Crawling Back To You",492,"+4",25,"+2",1.668,"+0.016",72,"443",46,591,134,2
49,"+1","CHRISTINA PERRI A Thousand Years",440,"+17",112,"+3",1.541,"+0.070",3,"38",49,440,112,1.541
50,"--","DRAKE Take Care f/Rihanna",440,"--",70,"--",4.834,"--",1,"41",50,440,70,4.834
