"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
"1",1,"=","MAROON 5","Payphone f/Wiz Khali...",13561,-88,-406,5,103.888,-0.776,95,"16",1,14353,3415,107.136
"2",2,"=","KATY PERRY","Wide Awake",12836,130,1321,-113,89.179,1.485,59,"3",2,12836,2824,89.179
"3",3,"=","RIHANNA","Where Have You Been",12632,-41,152,-71,95.058,-0.296,96,"20",2,12685,1884,95.69
"4",4,"=","CARLY RAE JEPSEN","Call Me Maybe",12417,-133,-938,-45,95.333,-2.092,131,"4",1,14563,1711,111.23
"5",5,"=","ELLIE GOULDING","Lights",11777,123,620,22,90.952,1.398,161,"7",4,11777,1482,90.952
"6",6,"+1","USHER","Scream",9285,-13,-16,-55,68.266,0.568,85,"19",6,9301,2323,68.266
"7",7,"-1","GOTYE","Somebody That I Used...",9196,-110,-878,68,66.812,-1.156,141,"11",1,14242,2018,106.819
"8",8,"=","DAVID GUETTA","Titanium f/Sia",8451,156,657,67,63.62,-0.041,103,"9",8,8451,987,63.661
"9",9,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",7078,-14,458,-134,49.88,0.396,83,"29",9,7092,1254,49.88
"10",10,"=","DEMI LOVATO","Give Your Heart A Br...",6972,72,393,33,46.173,-0.097,142,"22",10,6972,1250,46.27
"11",11,"=","NICKI MINAJ","Starships",6624,-93,-517,20,52.239,-0.814,157,"55/73",3,12071,1834,87.938
"12",12,"=","ONE DIRECTION","What Makes You Beaut...",6257,-69,-831,137,45.062,-0.519,142,"24",3,11838,1579,80.433
"13",13,"=","FUN.","We Are Young f/Janel...",5634,-177,-976,-54,37.313,-1.118,149,"32",1,14439,2738,110.772
"14",14,"+1","CHER LLOYD","Want U Back",5455,83,545,39,33.508,0.803,69,"8",14,5455,1103,33.508
"15",15,"-1","ONE DIRECTION","One Thing",5352,-34,-73,-131,29.047,-0.492,75,"34",14,5425,975,29.694
"16",16,"=","HAVANA BROWN","We Run The Night f/P...",5053,18,259,-42,37.359,0.189,159,"30",16,5053,544,37.359
"17",17,"=","PINK","Blow Me (One Last Ki...",4855,254,2409,-156,35.167,1.243,16,"5",17,4855,2737,35.167
"18",18,"+1","FLO RIDA","Whistle",4325,174,1165,-3,31.68,1.785,45,"2",18,4325,1168,31.68
"19",19,"-1","GYM CLASS HEROES","Fighter f/Ryan Tedde...",4302,-298,-1257,-248,25.187,-1.427,81,"26",13,5862,1441,35.394
"20",20,"=","OWL CITY & CARLY RAE...","Good Time",4194,93,672,38,27.815,0.996,24,"10",18,4194,1961,27.815
"21",21,"=","THE WANTED","Chasing The Sun",3718,85,519,-16,20.998,0.457,77,"38",21,3718,539,20.998
"22",22,"=","PITBULL","Back In Time",3147,-67,-978,141,18.459,-0.677,113,"40",14,6235,925,42.751
"23",23,"=","RITA ORA","How We Do (Party)",3002,-169,-377,-184,14.466,-0.923,85,"84",21,3424,620,16.657
"24",24,"+1","NEON TREES","Everybody Talks",2949,26,421,-55,19.113,0.074,102,"15",24,2949,510,19.113
"25",25,"-1","JUSTIN BIEBER","Boyfriend",2885,-180,-857,-29,15.162,-0.963,116,"41",9,7937,4726,51.515
"26",26,"+1","GROUPLOVE","Tongue Tied",2345,51,273,40,13.417,0.247,87,"53",26,2345,433,13.417
"27",27,"-1","B.O.B","Both Of Us f/Taylor ...",2208,-196,-811,-144,13.407,-0.56,68,"47",23,3144,577,17.595
"28",28,"=","KELLY CLARKSON","Dark Side",2166,57,440,-24,14.273,0.291,41,"44",28,2166,464,14.273
"29",29,"=","JASON MRAZ","I Won't Give Up",2123,14,32,5,12.763,0.149,96,"14",27,2123,276,12.775
"30",30,"=","OUTASIGHT","Now Or Never",1960,38,214,22,9.75,0.173,71,"275",29,1960,320,9.75
"31",31,"=","JUSTIN BIEBER","As Long As You Love ...",1717,144,686,83,12.684,0.767,15,"45",31,1717,686,12.684
"32",32,"=","ALEX CLARE","Too Close",1516,51,255,21,8.569,0.189,52,"25",31,1516,257,8.569
"33",33,"=","FUN.","Some Nights",1419,44,225,6,8.141,0.368,40,"6",33,1419,247,8.141
"34",34,"=","ADELE","Rumour Has It",1325,-6,-216,41,7.258,0.047,138,"118",8,8497,1514,56.313
