"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","BRUNO MARS","When I Was Your M...",15597,"+132",944,"-135",102.117,"+0.933",76,"2",1,15597,2737,102.117
2,"=","MACKLEMORE & RYAN...","Thrift Shop f/Wan...",13885,"-118",-567,"-46",87.689,"-0.815",134,"6/7",1,15012,2020,109.652
3,"=","MAROON 5","Daylight",13767,"-109",-872,"-116",82.345,"-0.660",129,"22",1,14639,1641,96.697
4,"=","JUSTIN TIMBERLAKE","Suit & Tie f/JAY ...",12271,"+21",309,"-47",73.353,"+0.414",77,"3",4,12271,6457,73.353
5,"=","RIHANNA","Stay f/Mikky Ekko",11950,"+267",1598,"+147",82.107,"+1.279",64,"5",5,11950,1617,82.107
6,"=","CALVIN HARRIS","Sweet Nothing f/F...",11340,"-41",-159,"-24",76.022,"-0.506",137,"39",4,11639,1126,84.444
7,"=","TAYLOR SWIFT","I Knew You Were T...",9727,"-99",-997,"+59",76.909,"-0.591",133,"25",1,16073,2452,126.481
8,"=","PITBULL","Feel This Moment",9639,"+106",918,"-17",65.11,"+1.040",85,"9",8,9639,1516,65.11
9,"=","SWEDISH HOUSE MAF...","Don't You Worry C...",8838,"-209",-1247,"-49",55.997,"-1.002",204,"41",1,14704,1905,116.982
10,"=","IMAGINE DRAGONS","It's Time",8137,"+3",-103,"-3",47.981,"+0.264",190,"27",10,8287,983,50.249
11,"+1","PINK","Just Give Me A Re...",7570,"+248",1719,"+3",48.147,"+1.956",40,"1",11,7570,1755,48.147
12,"-1","WILL.I.AM & BRITN...","Scream And Shout",7486,"-254",-1499,"+95",49.564,"-1.509",127,"23",3,13157,2182,99.406
13,"=","OLLY MURS","Troublemaker f/Fl...",6890,"+17",354,"-42",38.789,"-0.069",105,"15",12,6890,1121,38.858
14,"=","DEMI LOVATO","Heart Attack",6874,"+64",613,"-57",40.988,"+0.442",32,"8",13,6874,2482,40.988
15,"=","KREWELLA","Alive",6434,"-13",749,"-133",39.206,"+0.410",53,"48",15,6447,1026,39.206
16,"=","MUMFORD & SONS","I Will Wait",6007,"-36",369,"-104",37.046,"-0.047",86,"29",14,6043,747,37.093
17,"=","TAYLOR SWIFT","22",5418,"+172",792,"-49",28.767,"+1.408",29,"20",17,5418,2327,28.767
18,"=","OF MONSTERS AND M...","Little Talks",5181,"+66",152,"+91",31.315,"+0.185",134,"26",17,5181,655,31.534
19,"=","FUN.","Carry On",4717,"+85",549,"+34",25.148,"+0.321",83,"17",19,4717,935,25.148
20,"+1","ICONA POP","I Love It f/Charl...",4379,"+100",774,"+50",26.862,"+0.549",52,"12",20,4379,818,26.862
