"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"=","TAYLOR SWIFT","Blank Space",17471,-4,-241,-195,114.935,0.02,61,"1",1,18014,3248,118.647
"2",2,"=","NICK JONAS","Jealous",14142,-86,-80,-265,84.61,-0.399,108,"10",2,14461,1846,86.277
"3",3,"=","ARIANA GRANDE & THE WEEKND","Love Me Harder",13390,126,629,-6,80.124,0.405,82,"14",3,13390,1751,81.797
"4",4,"=","SAM SMITH","I'm Not The Only One",12056,13,1019,-205,75.409,-0.381,94,"11",4,12065,1806,77.418
"5",5,"=","MAROON 5","Animals",11870,-70,-1663,323,81.703,-0.512,96,"9",1,17381,3186,114.705
"6",6,"=","CALVIN HARRIS","Blame f/John Newman",11414,-215,-1975,-81,72.897,-1.096,111,"55",3,13993,1988,88.09
"7",7,"=","MR PROBZ","Waves",11149,-20,-696,16,73.269,-0.479,168,"30",5,12307,1264,83.219
"8",8,"=","HOZIER","Take Me To Church",9961,-9,711,-231,62.987,-0.114,76,"3",8,10051,1600,64.59
"9",9,"=","MARK RONSON","Uptown Funk f/Bruno Mars",9101,79,1051,-63,57.355,0.1,48,"2",9,9101,2689,57.448
"10",10,"=","SELENA GOMEZ","The Heart Wants What It Wants",8905,56,445,-36,56.412,0.47,52,"13",10,8927,2058,56.605
"11",11,"=","ED SHEERAN","Don't",8540,-263,-3002,24,52.256,-0.675,168,"18",2,15646,2073,94.331
"12",12,"=","TOVE LO","Habits (Stay High)",7816,-176,-942,-77,53.905,-1.256,188,"27",1,16744,2816,110.186
"13",13,"=","MEGHAN TRAINOR","Lips Are Movin",7764,-63,297,-259,43.638,0.017,69,"4",13,7842,1423,43.638
"14",14,"+1","IGGY AZALEA","Beg For It f/MØ",6667,-97,-492,-60,32.171,-0.944,65,"28",11,7303,2920,38.689
"15",15,"-1","ALESSO","Heroes",6660,-152,-294,-237,40.931,-0.322,111,"34",13,7022,896,41.958
"16",16,"=","TAYLOR SWIFT","Shake It Off",5078,-89,-1068,151,35.136,-0.479,132,"7",1,17531,9016,110.142
"17",17,"=","JAMES NEWTON HOWARD","The Hanging Tree f/J. Lawrence",4930,75,1030,-330,31.691,0.209,20,"16/65",17,4930,2403,31.79
"18",18,"=","FALL OUT BOY","Centuries",4836,-17,-25,-16,22.976,-0.324,102,"8",17,4945,679,23.3
