"Pos","Pos.","Artist","Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","SHAWN MENDES","Stitches",17838,-107,248,-165,107,0.123,174,"17",1,17999,2130,107.15
2,"=","TAYLOR SWIFT","Wildest Dreams",16996,-121,-1174,102,105.454,-0.863,77,"20",1,18848,3531,112.715
3,"+1","DRAKE","Hotline Bling",14690,219,1992,-158,84.872,1.423,59,"3",3,14690,2377,84.872
4,"-1","THE WEEKND","The Hills",14311,-316,-2083,-29,91.821,-1.855,102,"24",2,17451,2705,105.256
5,"=","JUSTIN BIEBER","What Do You Mean?",13279,-313,-2208,113,85.524,-0.681,76,"4",1,18691,5900,114.523
6,"=","ADELE","Hello",12013,707,4705,28,73.741,4.66,20,"1",6,12013,4705,73.741
7,"=","ELLIE GOULDING","On My Mind",11243,-39,968,-267,63.434,0.332,56,"13",6,11282,3457,63.434
8,"=","ELLE KING","Ex's and Oh's",10739,146,1212,-131,63.496,0.08,90,"9",7,10739,1468,63.496
9,"=","SELENA GOMEZ","Same Old Love",10686,136,1647,-127,62.873,0.663,58,"18",9,10686,1774,62.873
10,"=","ALESSIA CARA","Here",10466,77,977,-118,63.796,0.322,116,"23",8,10466,1451,63.796
11,"=","X AMBASSADORS","Renegades",9746,-93,100,-166,47.405,-0.776,94,"46",8,9986,1573,48.866
12,"=","ONE DIRECTION","Drag Me Down",8228,-398,-1913,-225,42.649,-1.353,104,"28",5,10402,3358,53.211
13,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",8002,152,956,28,40.542,0.561,136,"12",13,8002,1248,40.542
14,"=","JUSTIN BIEBER","Sorry",7727,217,1722,-75,45.353,1.346,21,"2",14,7727,3902,45.353
15,"+1","DEMI LOVATO","Confident",7083,69,557,-32,36.223,0.14,42,"48",15,7083,1761,36.223
16,"-1","R. CITY","Locked Away f/Adam Levine",6889,-135,-1291,136,44.018,-0.898,125,"40",1,17400,2155,103.625
17,"=","CALVIN HARRIS + DISCIPLES","How Deep Is Your Love",6548,-319,-772,-254,41.653,-1.952,109,"62",14,7390,1033,48.997
18,"+1","ARIANA GRANDE","Focus",6543,253,2143,-509,37.572,0.775,13,"32",18,6543,5117,37.572
19,"-1","SELENA GOMEZ","Good For You f/A$AP Rocky",6335,-145,-1179,55,44.936,-1.64,143,"86",1,18426,4663,107.401
20,"=","RUDIMENTAL","Lay It All On Me f/Ed Sheeran",5839,53,695,-57,28.616,0.262,43,"52",19,5839,1343,28.616
21,"=","FETTY WAP","679 f/Remy Boyz...",4439,97,608,31,22.525,0.297,67,"27",21,4439,769,22.539
22,"=","DAYA","Hide Away",4212,65,577,40,15.948,0.374,88,"42",22,4212,577,15.948
23,"=","MACKLEMORE & RYAN LEWIS","Downtown",3564,-395,-3411,81,14.274,-1.362,77,"41",8,8714,3957,42.27
24,"=","ONE DIRECTION","Perfect",3549,130,900,-3,15.611,0.824,25,"22",24,3549,1185,15.611
25,"=","5 SECONDS OF SUMMER","Hey Everybody!",2914,-40,150,-121,10.969,-0.055,32,"468",25,2954,1074,11.024
26,"=","CONRAD SEWELL","Hold Me Up",2867,-55,-132,-23,13.13,-0.426,44,"230",24,3032,1607,17.024
27,"=","DNCE","Cake By The Ocean",2669,-12,160,-39,10.626,-0.009,43,"128",27,2681,578,10.851
28,"=","JESS GLYNNE","Hold My Hand",2383,-101,-201,-66,10.322,-0.542,125,"90",25,2619,276,12.036
29,"=","DEMI LOVATO","Cool For The Summer",2203,-49,-479,69,13.608,-0.516,134,"220",2,14976,4704,81.953
30,"=","THE CHAINSMOKERS","Roses f/Rozes",2123,85,419,78,9.417,0.368,46,"45",30,2123,419,9.417
31,"=","AUDIEN","Something Better f/Lady A.",2061,30,67,43,6.732,-0.016,55,"117",30,2067,402,7.381
32,"=","GWEN STEFANI","Used To Love You",1633,112,478,43,5.765,0.207,14,"85",32,1633,696,5.765
33,"+1","FALL OUT BOY","Irresistible f/Demi Lovato",1505,27,376,-53,6.709,0.176,15,"294",33,1505,539,6.709
34,"+1","NICO & VINZ","That's How You Know f/B. Rexha",1418,3,46,-6,3.225,0.018,85,"355",33,1418,160,3.225
35,"-2","HAILEE STEINFELD","Love Myself",1373,-140,-1051,201,7.62,-0.583,93,"92",13,7032,2308,35.026
36,"=","HALSEY","New Americana",1340,34,250,0,4.769,-0.053,46,"191",36,1340,250,4.822
37,"+1","PENTATONIX","Can't  Sleep Love",1153,6,111,-37,3.865,-0.173,35,"--",37,1153,266,4.136
38,"+2","FLO RIDA","My House",1084,28,223,11,2.631,0.095,24,"69",38,1084,223,2.631
39,"=","SHAGGY","Only Love f/Pitbull",1066,6,38,7,4.607,0.03,44,"434",38,1070,233,5.133
40,"+1","NELLY","The Fix f/Jeremih",1063,58,265,24,4.515,0.202,26,"71",40,1063,265,4.515
41,"-4","NICK JONAS","Levels",1044,-128,-1155,-29,4.148,-0.541,81,"83",13,6960,1791,33.449
42,"+1","CHRIS BROWN","Zero",1002,25,212,-5,3.926,0.06,16,"261",42,1002,374,3.975
43,"-1","SIA","Alive",988,2,62,14,2.42,-0.051,37,"37",41,1001,408,2.978
44,"=","TOVE LO","Moments",956,10,115,-3,3.05,0.08,23,"428",44,956,408,3.05
45,"=","NICKY JAM","El Perdon",871,-37,-423,35,11.095,-0.423,78,"286",30,1919,278,19.076
46,"+2","TORI KELLY","Hollow",770,63,501,32,2.494,0.066,4,"183",46,770,501,2.494
47,"-1","RACHEL PLATTEN","Stand By You",752,22,115,20,2.799,0.106,13,"76",46,752,124,2.799
48,"+1","CHARLIE PUTH","One Call Away",747,96,343,81,2.938,0.526,3,"238",48,747,343,2.938
49,"-2","ANDY GRAMMER","Good To Be Alive (Hallelujah)",720,-7,45,-28,1.651,-0.011,30,"107",45,727,86,1.662
50,"=","MAX","Gibberish f/Hoodie Allen",602,-14,3,-22,0.986,-0.042,20,"557",46,623,75,1.048
