"","Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
"1",1,"+2","ZAYN","Pillowtalk",15959,237,1273,164,91.838,1.594,82,"22",1,15959,2441,91.838
"2",2,"=","DNCE","Cake By The Ocean",15719,-41,668,-146,92.039,-0.537,203,"17",2,15763,1185,92.576
"3",3,"-2","G-EAZY","Me Myself And I f/Bebe Rexha",15687,-109,-508,-53,94.68,-0.417,104,"32",1,16250,1836,97.757
"4",4,"=","MIKE POSNER","I Took A Pill In Ibiza",14978,160,1303,-16,90.279,1.269,96,"7",4,14978,1578,90.279
"5",5,"=","LUKAS GRAHAM","7 Years",14049,307,2005,-29,84.652,2.107,94,"1",5,14049,2034,84.652
"6",6,"=","JUSTIN BIEBER","Love Yourself",13379,-121,-801,-28,92.925,-0.643,138,"26",1,19000,4103,124.28
"7",7,"+1","MEGHAN TRAINOR","NO",12552,96,724,0,69.649,0.256,47,"4",7,12552,5498,69.649
"8",8,"-1","FLO RIDA","My House",12550,-295,-1183,-168,75.791,-2.873,184,"9",1,18123,2285,104.909
"9",9,"=","FIFTH HARMONY","Work From Home",11327,177,985,22,64.436,1.033,54,"6",9,11327,4059,64.436
"10",10,"=","TWENTY ONE PILOTS","Stressed Out",10658,-126,-1581,114,79.449,-0.076,157,"27",1,19140,2702,124.646
"11",11,"=","ZARA LARSSON & MNEK","Never Forget You",10200,114,498,-29,61.729,1.113,77,"11",11,10200,1534,61.729
"12",12,"=","SELENA GOMEZ","Hands To Myself",9220,-385,-3866,41,54.575,-2.643,108,"60",1,16291,1952,91.457
"13",13,"=","ARIANA GRANDE","Dangerous Woman",8452,82,897,-70,48.321,0.694,40,"8",13,8452,4214,48.321
"14",14,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8202,13,323,-47,43.205,0.087,94,"28",13,8202,1239,43.205
"15",15,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",7048,290,1906,61,43.552,1.545,38,"5",15,7048,1906,43.552
"16",16,"=","JUSTIN BIEBER","Company",6360,-33,-82,-49,30.826,-0.227,52,"94",16,6486,2006,31.446
"17",17,"=","NICK JONAS","Close f/Tove Lo",6201,48,468,-80,30.747,0.438,26,"14",17,6201,3392,30.747
"18",18,"=","RIHANNA","Work f/Drake",5414,-376,-2475,37,33.599,-2.144,84,"24",8,11661,3999,67.246
"19",19,"=","TROYE SIVAN","Youth",5392,-17,17,-80,22.213,0.255,108,"45",17,5443,660,22.213
"20",20,"=","ALESSIA CARA","Wild Things",5207,12,340,-38,21.737,0.37,80,"57",19,5207,814,21.737
"21",21,"=","JASON DERULO","If It Ain't Love",4467,168,1474,-120,19.867,0.829,19,"106",21,4467,2192,19.867
"22",22,"=","JAMES BAY","Let It Go",3869,47,376,-59,19.26,0.118,59,"12",21,3869,885,19.26
"23",23,"=","IGGY AZALEA","Team",3228,50,332,-30,12.391,0.146,31,"63",23,3228,1132,12.565
"24",24,"+1","RUTH B.","Lost Boy",3129,68,453,-14,13.968,0.402,65,"19",24,3129,530,13.968
"25",25,"-1","GWEN STEFANI","Make Me Like You",2985,-122,-281,-169,9.8,-0.337,62,"112",23,3265,1040,10.548
"26",26,"=","RIHANNA","Kiss It Better",2488,98,1064,-69,11.282,0.757,14,"99",26,2488,1133,11.282
"27",27,"+1","DRAKE","One Dance f/Wizkid & Kyla",2408,280,1642,200,18.148,1.936,10,"2",27,2408,1642,18.148
"28",28,"-1","TAYLOR SWIFT","New Romantics",2007,-156,-1637,182,8.895,-1.018,56,"35",17,5862,2558,28.461
