"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ZAYN","Pillowtalk",16723,191,1424,100,96.863,1.251,86,"62",1,16723,2441,96.863
2,"=","MIKE POSNER","I Took A Pill In Ibiza",15484,24,981,-218,95.102,1.264,100,"26",2,15484,1578,95.102
3,"+2","LUKAS GRAHAM","7 Years",15172,260,2014,45,90.713,1.438,98,"12",3,15172,2060,90.713
4,"-1","DNCE","Cake By The Ocean",14849,-188,-770,-374,84.041,-1.849,207,"36",2,15763,1185,92.576
5,"-1","G-EAZY","Me Myself And I f/Bebe Rexha",14812,-201,-1186,-186,89.279,-1.244,108,"79",1,16250,1836,97.757
6,"=","JUSTIN BIEBER","Love Yourself",12692,-55,-1043,87,87.925,-0.711,142,"59",1,19000,4103,124.28
7,"=","MEGHAN TRAINOR","NO",12330,-50,66,-132,66.914,-0.727,51,"16",7,12552,5498,69.649
8,"+1","FIFTH HARMONY","Work From Home",11698,12,764,-185,66.988,0.554,58,"21",8,11698,4059,66.988
9,"-1","FLO RIDA","My House",11696,-88,-1481,70,70.528,-0.89,188,"27",1,18123,2285,104.909
10,"=","ZARA LARSSON & MNEK","Never Forget You",10461,127,518,113,62.172,0.285,81,"35",10,10461,1534,62.172
11,"=","TWENTY ONE PILOTS","Stressed Out",10110,-151,-1065,81,72.815,-1.83,161,"54",1,19140,2702,124.646
12,"=","ARIANA GRANDE","Dangerous Woman",8765,53,661,-46,51.003,0.36,44,"30",12,8765,4214,51.003
13,"=","DJ SNAKE","Middle f/Bipolar Sunshine",8217,-21,47,-107,43.743,-0.132,98,"63",13,8238,1239,43.875
14,"=","SELENA GOMEZ","Hands To Myself",7972,-254,-2691,248,46.12,-1.534,112,"124",1,16291,1952,91.457
15,"=","THE CHAINSMOKERS","Don't Let Me Down f/Daya",7894,186,1715,-68,48.556,1.307,42,"19",15,7894,1906,48.556
16,"=","NICK JONAS","Close f/Tove Lo",6414,32,364,4,32.32,0.446,30,"50",16,6414,3392,32.32
17,"=","JUSTIN BIEBER","Company",5830,-151,-592,-124,28.758,-0.985,56,"161",16,6486,2006,31.446
18,"=","ALESSIA CARA","Wild Things",5472,57,421,-28,23.596,0.341,84,"113",18,5472,814,23.596
19,"=","TROYE SIVAN","Youth",5156,-85,-278,-76,20.785,-0.726,112,"60",17,5443,660,22.213
20,"=","JASON DERULO","If It Ain't Love",4920,147,1045,-46,23.002,1.125,23,"168",20,4920,2192,23.002
21,"+1","JAMES BAY","Let It Go",4280,146,580,158,22.316,0.991,63,"41",21,4280,885,22.316
22,"-1","RIHANNA","Work f/Drake",4131,-347,-2293,-39,26.325,-1.97,88,"49",8,11661,3999,67.246
23,"+1","DRAKE","One Dance f/Wizkid & Kyla",3544,291,1930,42,25.495,2.188,14,"11",23,3544,1930,25.495
24,"-1","IGGY AZALEA","Team",3411,23,388,-71,12.416,-0.109,35,"123",23,3411,1132,12.565
25,"=","RUTH B.","Lost Boy",3260,35,303,5,14.924,0.295,69,"38",24,3260,530,14.924
26,"=","RIHANNA","Kiss It Better",2809,79,756,-138,13.555,0.474,18,"153",26,2809,1133,13.555
27,"+1","GRACE","You Don't Own Me f/G-Eazy",2233,-15,479,-124,9.819,0.193,37,"105",27,2248,603,9.819
28,"+1","PITBULL F/ENRIQUE IGLESIAS","Messin' Around",2132,53,647,-170,9.837,0.092,16,"100",28,2132,1675,13.913
29,"-2","GWEN STEFANI","Make Me Like You",2023,-233,-1086,-128,7.339,-0.825,66,"216",23,3265,1040,10.548
30,"+1","PINK","Just Like Fire",2011,241,1035,63,10.81,0.903,9,"86",28,2194,2189,15.897
31,"-1","FLUME","Never Be Like You f/Kai",1820,40,244,-12,8.994,0.127,40,"392",30,1820,345,8.994
32,"=","ROBIN SCHULZ","Sugar f/Francesco Yates",1697,-26,-261,27,12.805,-0.281,149,"275",13,7836,1193,44.484
33,"=","TAYLOR SWIFT","New Romantics",1633,-55,-1038,166,7.374,-0.277,60,"95",17,5862,2558,28.461
34,"=","SIA","Cheap Thrills",1594,31,184,-33,6.306,0.147,47,"117",34,1594,248,6.306
35,"=","PANIC! AT THE DISCO","Victorious",1539,-12,-79,8,4.42,-0.035,57,"182",29,1641,273,4.676
36,"+2","TWENTY ONE PILOTS","Ride",1463,157,561,96,4.931,0.641,14,"115",36,1463,561,4.931
37,"-1","MAJOR LAZER","Light It Up f/Nyla",1463,55,45,46,4.947,0.24,53,"234",32,1463,288,5.389
38,"-1","HAILEE STEINFELD","Rock Bottom f/DNCE",1399,26,53,59,3.607,-0.007,52,"294",32,1409,560,3.761
39,"=","JEREMIH","Oui",1221,25,253,-10,3.397,0.076,35,"97",39,1221,263,3.397
40,"=","DAYA","Sit Still, Look Pretty",1122,43,153,28,3.689,0.102,28,"247",40,1122,242,3.689
41,"=","HALSEY","Colors",1053,-14,17,-24,2.908,-0.07,49,"390",38,1076,304,2.982
42,"=","MELANIE MARTINEZ","Pity Party",1003,13,104,3,2.695,0.094,26,"330",42,1003,316,2.695
43,"+1","BEBE REXHA","No Broken Hearts f/Nicki Minaj",826,25,247,-14,2.836,-0.124,9,"524",43,826,270,2.96
44,"+1","BELLY","Might Not f/The Weeknd",730,40,161,28,3.15,0.298,13,"186",44,730,246,3.15
45,"-2","SHAWN HOOK","Sound Of Your Heart",713,-107,-1142,92,2.902,-0.288,105,"502",22,3274,576,10.588
46,"+1","DESIIGNER","Panda",693,64,240,40,5.576,0.376,4,"14/90",46,693,240,5.576
47,"-1","ELLE KING","America's Sweetheart",676,0,59,3,1.564,-0.013,25,"127",44,676,345,1.627
48,"=","TRYON","Somebody To Love Me",572,13,45,14,0.809,0.046,13,"--",48,572,95,0.809
49,"+1","ALUNAGEORGE","I'm In Control f/Popcaan",542,1,37,-15,1.448,-0.043,5,"1316",49,542,112,1.497
50,"-1","ALAN WALKER","Faded",540,-8,99,-60,3.93,0.01,6,"187",49,548,210,3.93
